Count,Voltage Regulator ID,"From 
Bus ID","To  
Bus ID",Regulated Bus ID,Phase Type,Phasing,Phase Sense,KVA Rating ,KV Rating ,Target Voltage (120V base),Bandwidth     (120V base),R-Setting Phase A,R-Setting Phase B,R-Setting Phase C,X-Setting Phase A,X-Setting Phase B,X-Setting Phase C,Primary Current Rating (A),PT Ratio,No-Load Loss (kW),Exciting Current (%)
148,VR0148,P0000000108-58AV,BUS-148,RBUS-148,3PH,CAB,ABC,325,13.8,120.4,1.8,4.9,3.5,8.2,5.7,6.6,9.4,140,2.31070,1.23000,1.80000
149,VR0149,P0000000108-59,BUS-149,RBUS-149,3PH,CBA,ABC,600,34.5,118.7,3.9,1.5,2.1,1.1,14.3,12.8,16.3,55,2.26993,0.73000,1.39000
150,VR0150,P0000000108-59A,BUS-150,RBUS-150,3PH,ABC,ABC,475,23,119.8,3.1,9.5,1.1,1.7,5.6,12.6,8.1,30,2.53856,1.04000,0.82000
151,VR0151,P0000000108-59f,BUS-151,RBUS-151,3PH,CBA,ABC,525,13.8,119.2,3.8,3.5,10,1.6,5.7,17.8,15.4,85,2.06432,0.78000,1.49000
152,VR0152,P0000000108-59j,BUS-152,RBUS-152,3PH,CBA,ABC,375,13.8,121.4,1.3,3.9,3,3.9,13.8,14.8,6.7,165,2.97047,0.84000,0.83000
153,VR0153,P0000000108-59p,BUS-153,RBUS-153,3PH,ABC,ABC,700,13.8,119.5,1.5,3.2,5.3,6.7,15.5,16.5,16,140,2.22459,0.45000,2.37000
154,VR0154,P0000000108-60,BUS-154,RBUS-154,3PH,ABC,ABC,875,13.8,119.1,3.1,7.8,2.5,9.1,5.4,18.1,19.8,35,2.08529,0.43000,1.01000
155,VR0155,P0000000108-63,BUS-155,RBUS-155,3PH,CAB,ABC,250,13.8,121.9,3.8,2.1,6.4,5.7,12.6,13.5,15.5,40,2.98916,0.53000,1.90000
156,VR0156,P0000000110,BUS-156,RBUS-156,3PH,ACB,ABC,975,34.5,121.7,2.3,3.7,8.9,6,8.1,17.3,9.1,75,2.89304,0.51000,1.76000
157,VR0157,P0000000111,BUS-157,RBUS-157,3PH,ABC,ABC,275,23,121.6,2.1,3.6,9.2,6.9,5.4,16,6.5,60,2.06383,1.23000,1.15000
158,VR0158,P000000111A,BUS-158,RBUS-158,3PH,BAC,ABC,325,23,120.9,4,1.9,2.9,4.1,15.1,18.7,13.5,185,2.55624,0.80000,2.02000
159,VR0159,P0000000112,BUS-159,RBUS-159,3PH,BCA,ABC,400,13.8,120.8,1.5,8.4,5.4,2.8,15.6,10.9,19.6,45,2.54123,1.44000,1.71000
160,VR0160,P0000000113,BUS-160,RBUS-160,3PH,CBA,ABC,825,7.2,121,3.2,6.4,3.7,4.5,6.3,17.5,6.2,175,2.86477,0.59000,2.45000
161,VR0161,P0000000115,BUS-161,RBUS-161,3PH,CBA,CBA,925,23,119,1,5.5,7.4,8.6,6.7,5,15.3,60,2.70092,1.01000,1.61000
162,VR0162,P000000115A,BUS-162,RBUS-162,3PH,BCA,ABC,850,7.2,121.6,3.8,3.9,7.7,5.9,19.9,19.1,12.4,75,2.14972,0.63000,2.37000
163,VR0163,P000000115B,BUS-163,RBUS-163,3PH,CBA,ABC,625,34.5,118.6,2.4,6.5,5.5,2.1,16.6,19.8,15.1,105,2.44491,0.99000,0.52000
164,VR0164,P000000115C,BUS-164,RBUS-164,3PH,ACB,ABC,800,7.2,119.2,1.3,5.7,1.2,5.9,15,19.4,8.7,185,2.17007,0.56000,1.07000
165,VR0165,P0000000115-4,BUS-165,RBUS-165,3PH,BCA,ABC,300,13.8,119.8,3.7,4.4,7,2.8,15.3,19.5,8.7,165,2.26435,0.49000,1.82000
166,VR0166,P0000000116,BUS-166,RBUS-166,3PH,CAB,CBA,900,13.8,121.9,4,6.8,1.4,7.6,18.3,9.9,7.1,65,2.67386,1.48000,1.92000
167,VR0167,P0000000117,BUS-167,RBUS-167,3PH,ABC,ABC,850,34.5,121.9,2.1,8.5,8.3,8.9,6.9,18.8,11.8,100,2.75319,0.89000,1.98000
168,VR0168,P000000117B,BUS-168,RBUS-168,3PH,CAB,CBA,400,7.2,118.7,2.4,3.9,4.5,1.1,7.4,5.1,12.3,95,2.48706,0.85000,1.54000
169,VR0169,P0000000119,BUS-169,RBUS-169,3PH,ACB,ABC,775,13.8,120.7,3.1,5.8,3.2,6.5,18.8,11.5,13,195,2.25626,0.36000,0.72000
170,VR0170,P0000000119-3,BUS-170,RBUS-170,3PH,BAC,ABC,775,23,119.4,1.3,8.7,5.5,3.1,17.5,10.5,13.2,195,2.34234,1.05000,1.35000
171,VR0171,P0000000121,BUS-171,RBUS-171,3PH,BCA,CBA,725,7.2,120.3,1.7,4.1,2,2.9,5.7,10.3,5.6,75,2.39864,0.38000,0.70000
172,VR0172,P000000121A,BUS-172,RBUS-172,3PH,ACB,ABC,525,34.5,118.8,3.9,6.9,8.4,6.4,17.9,14.3,9.5,65,2.44983,1.07000,0.91000
173,VR0173,P0000000122,BUS-173,RBUS-173,3PH,BAC,ABC,925,34.5,120.2,2.8,7.3,3.2,7.8,9.9,12.7,7.6,180,2.35234,1.34000,0.96000
174,VR0174,P000000122A,BUS-174,RBUS-174,3PH,CBA,ABC,650,7.2,120.9,3.2,1.8,2.6,8,6,9.6,10.9,65,2.14350,1.01000,2.15000
175,VR0175,P0000000122-3,BUS-175,RBUS-175,3PH,CBA,ABC,525,23,119.3,1.4,3.8,2.8,3.9,14.9,7,13.4,150,2.56200,1.42000,2.22000
176,VR0176,P0000000122-3b,BUS-176,RBUS-176,3PH,CAB,ABC,425,23,118.9,2.7,5.1,7.7,4.5,19.9,18.6,13.9,65,2.91254,0.54000,0.64000
177,VR0177,P0000000122-4,BUS-177,RBUS-177,3PH,ABC,ABC,300,13.8,119,3.8,5.9,9.5,6.8,7.6,10,7.8,30,2.78820,1.23000,1.65000
178,VR0178,P0000000125,BUS-178,RBUS-178,3PH,BAC,CBA,925,13.8,120.9,3.9,6.9,6.3,6.7,13.6,19.3,17.8,40,2.81574,1.35000,0.69000
179,VR0179,P000000125A,BUS-179,RBUS-179,3PH,ABC,ABC,650,23,119.9,3.4,3.9,5.9,7.6,11.2,10.1,13.3,150,2.54748,0.24000,0.94000
180,VR0180,P0000000126,BUS-180,RBUS-180,3PH,ABC,ABC,775,13.8,121.1,1.2,6,9.9,1.3,5.2,18.1,17,45,2.72071,0.92000,2.02000
181,VR0181,P0000000126-2,BUS-181,RBUS-181,3PH,CAB,ABC,775,34.5,119.5,3,9.4,4.5,9.7,6.8,19,15.9,175,2.20248,1.26000,0.97000
182,VR0182,P0000000126-6,BUS-182,RBUS-182,3PH,BAC,ABC,925,7.2,119.4,1.7,1.9,7.1,5,19.8,10.9,10.3,95,2.18539,0.66000,2.36000
183,VR0183,P0000000126-8,BUS-183,RBUS-183,3PH,CBA,ABC,975,34.5,121.1,3.7,6.3,1.5,6.2,8.5,9.2,6.4,140,2.88769,0.30000,0.81000
184,VR0184,P0000000126-8A,BUS-184,RBUS-184,3PH,ACB,ABC,425,23,120.8,2.5,2.3,8.3,4.3,8.1,19.3,16.6,105,2.32735,0.39000,0.65000
185,VR0185,P0000000126-8B,BUS-185,RBUS-185,3PH,CAB,ABC,825,7.2,118.4,2.6,4.7,3.2,8.8,19.6,16.7,7.6,175,2.90883,1.17000,1.94000
186,VR0186,P0000000126-8B1,BUS-186,RBUS-186,3PH,CAB,ABC,350,23,121.7,2.9,2.4,7,5,18.3,7.8,17.5,45,2.36444,0.96000,1.23000
187,VR0187,P0000000126-8a,BUS-187,RBUS-187,3PH,CBA,ABC,850,23,120.5,2.6,6.8,3.2,7.9,7.6,8.5,10.5,175,2.79185,0.38000,1.91000
188,VR0188,P0000000126-8b,BUS-188,RBUS-188,3PH,CAB,ABC,425,7.2,118.2,4,2.1,1.9,7.9,5.1,8.5,11.3,35,2.32371,0.40000,0.81000
189,VR0189,P0000000126-10,BUS-189,RBUS-189,3PH,CAB,CBA,300,7.2,118.6,3.1,2.4,7.1,9.5,17.8,18.5,19.3,95,2.36062,0.30000,0.51000
190,VR0190,P0000000126-12,BUS-190,RBUS-190,3PH,CAB,CBA,425,23,119.2,1.2,9,9.6,7.2,18.5,9.3,16.4,165,2.03220,0.31000,0.93000
191,VR0191,P0000000128,BUS-191,RBUS-191,3PH,ACB,ABC,550,7.2,119.9,2.5,4,4.3,9.1,7.8,15.4,5.4,170,2.83948,0.38000,1.54000
192,VR0192,P0000000128-4,BUS-192,RBUS-192,3PH,CBA,ABC,350,34.5,121.5,3.5,4.8,3.9,7.3,7,18.1,8.6,65,2.64618,0.33000,1.48000
193,VR0193,P0000000128-4A,BUS-193,RBUS-193,3PH,ABC,ABC,950,7.2,121,1.9,1.2,6.2,3.9,12.9,13.9,8.4,90,2.95828,1.41000,1.59000
194,VR0194,P0000000129,BUS-194,RBUS-194,3PH,BAC,ABC,325,7.2,119.8,1.3,9.1,3.1,1.3,19.4,13.5,17.7,85,2.17053,1.33000,2.29000
195,VR0195,P0000000130,BUS-195,RBUS-195,3PH,CAB,ABC,425,23,119.7,3.8,7.6,5.4,8.9,14.8,19.6,18.5,190,2.32067,0.95000,0.99000
196,VR0196,P0000000130-16,BUS-196,RBUS-196,3PH,BCA,ABC,825,34.5,120.6,1,8.6,1.1,3,6.5,10.9,11.9,95,2.29457,0.96000,0.53000
197,VR0197,P0000000130-20,BUS-197,RBUS-197,3PH,ACB,ABC,325,13.8,118.8,2.5,6.3,4.9,6,7.9,15.2,14.8,40,2.89589,1.17000,0.81000
198,VR0198,P0000000130-25,BUS-198,RBUS-198,3PH,CBA,ABC,350,23,118.4,2.9,5,1.6,5.4,10.8,12.3,19.5,115,2.79082,1.01000,0.98000
199,VR0199,P0000000130-31,BUS-199,RBUS-199,3PH,BAC,ABC,275,23,121,2,6.4,5.9,5.1,12.8,8.3,18.7,195,2.32718,0.97000,1.03000
200,VR0200,P0000000130-31A,BUS-200,RBUS-200,3PH,ABC,ABC,300,23,119.6,2.6,6,1.2,8.7,17.8,5.3,14.5,150,2.49624,0.69000,0.93000
201,VR0201,P0000000130-31-4,BUS-201,RBUS-201,3PH,CAB,CBA,275,7.2,121.3,2.2,2.1,6.1,3,16.2,7.8,10.8,40,2.31105,0.71000,1.26000
202,VR0202,P0000000130-31-9,BUS-202,RBUS-202,3PH,ACB,ABC,375,7.2,121.5,2.9,7.2,6.2,8.9,18.4,8.4,13.9,120,2.54209,0.25000,2.35000
203,VR0203,P0000000130-49,BUS-203,RBUS-203,3PH,CBA,ABC,625,13.8,121.9,2.7,3.4,3.8,9.6,6.9,8.2,14,130,2.10022,0.98000,0.98000
204,VR0204,P0000000130-53,BUS-204,RBUS-204,3PH,BCA,ABC,475,7.2,119.8,3.5,5.8,2.1,9.3,18.8,16.2,15.6,200,2.50798,0.52000,2.47000
205,VR0205,P0000000130-53-8,BUS-205,RBUS-205,3PH,ACB,ABC,600,7.2,119,2.5,3.9,4,7.9,13.1,19.7,13.9,35,2.62539,1.19000,1.61000
206,VR0206,P0000000130-53-20,BUS-206,RBUS-206,3PH,ABC,ABC,900,7.2,119.3,2.8,2.9,9.2,3.8,16.5,6.1,14.8,135,2.95595,0.22000,2.19000
207,VR0207,P0000000130-53-20F,BUS-207,RBUS-207,3PH,CAB,ABC,800,34.5,120.6,3.5,5.5,3,3.4,16.7,15.6,13,85,2.83712,1.38000,2.05000
208,VR0208,P0000000130-53-24,BUS-208,RBUS-208,3PH,BAC,ABC,600,23,118.2,2.3,9.9,8.5,9.8,7.1,10.2,14.3,140,2.45781,0.59000,0.78000
209,VR0209,P0000000130-53-38,BUS-209,RBUS-209,3PH,BAC,ABC,625,23,120.2,2.5,4.9,9.2,9.3,11.6,15.1,9.7,70,2.53018,0.73000,1.34000
210,VR0210,P0000000130-53-44,BUS-210,RBUS-210,3PH,CAB,ABC,625,23,119.6,2.6,8.5,9.7,3.6,5.6,19.5,19.6,50,2.46087,0.59000,0.88000
211,VR0211,P0000000130-56,BUS-211,RBUS-211,3PH,ABC,ABC,850,13.8,119.7,2,3.4,8.6,9.2,12.4,10.1,10.8,25,2.42717,0.60000,0.84000
212,VR0212,P0000000130-56-4,BUS-212,RBUS-212,3PH,CAB,ABC,875,7.2,121.6,1.9,2.4,7.2,2.2,8.5,12.7,6.7,180,2.96630,0.20000,1.40000
213,VR0213,P0000000130-56-12,BUS-213,RBUS-213,3PH,CAB,ABC,400,13.8,119.9,3,8.7,7.8,6.8,19.5,13.9,18.3,120,2.66502,0.28000,0.71000
214,VR0214,P0000000130-62,BUS-214,RBUS-214,3PH,BCA,ABC,425,13.8,121.4,2.8,6,3.4,9.2,13.9,6.7,6.4,130,2.17614,1.25000,1.09000
215,VR0215,P0000000130-63,BUS-215,RBUS-215,3PH,BAC,ABC,925,7.2,120.2,2.9,2.3,7.4,4.3,15.4,6.6,6.7,140,2.40861,0.83000,0.57000
216,VR0216,P0000000130-70,BUS-216,RBUS-216,3PH,BAC,ABC,900,7.2,118.6,2.1,1.5,4.3,1.7,5.8,11.3,15.5,100,2.48263,0.61000,2.06000
217,VR0217,P0000000130-88,BUS-217,RBUS-217,3PH,BAC,ABC,725,34.5,120.3,1.4,1.7,3.9,8.8,5.8,13.2,14.6,75,2.64738,0.93000,0.52000
218,VR0218,P0000000130-88A,BUS-218,RBUS-218,3PH,CBA,CBA,400,23,119.6,3.7,2.5,2.1,7,16.1,11.2,17,135,2.17902,0.29000,2.26000
219,VR0219,P0000000130-88A-18,BUS-219,RBUS-219,3PH,ACB,ABC,325,7.2,120.8,3.3,8,4.9,9.8,17.2,10.3,9.9,175,2.55629,0.95000,0.97000
220,VR0220,P0000000130-98,BUS-220,RBUS-220,3PH,CBA,ABC,900,34.5,121.5,3.5,6.3,7.6,7.1,17.9,11.3,10.5,135,2.02307,0.56000,1.69000
221,VR0221,P0000000130-98A,BUS-221,RBUS-221,3PH,BCA,ABC,700,13.8,120,1.6,8,6.4,8.5,15.1,10.7,5.1,95,2.35990,0.58000,1.81000
222,VR0222,P0000000130-117,BUS-222,RBUS-222,3PH,CAB,ABC,700,34.5,119.2,2.8,8.4,9.6,6.1,14.6,15.7,13,165,2.42608,1.21000,2.11000
223,VR0223,P0000000132,BUS-223,RBUS-223,3PH,ABC,ABC,625,13.8,118.1,1.4,6.8,3.5,9.4,14.5,7.6,9.2,150,2.39603,0.59000,1.20000
224,VR0224,P0000000132-3,BUS-224,RBUS-224,3PH,BAC,ABC,425,34.5,118.7,2,6.9,8.5,8.9,17.9,10.7,8.6,35,2.88789,0.86000,0.65000
225,VR0225,P0000000132-3B,BUS-225,RBUS-225,3PH,BAC,ABC,925,34.5,120.2,1.9,1.5,3.7,8.8,15.9,8.8,13.8,75,2.12123,0.74000,0.54000
226,VR0226,P0000000132-3D,BUS-226,RBUS-226,3PH,BAC,ABC,575,23,121,3.2,3.9,4.2,9.9,7.1,12.7,10.7,105,2.59717,0.75000,0.98000
227,VR0227,P0000000132-3D1,BUS-227,RBUS-227,3PH,CBA,ABC,400,13.8,118.6,1.1,4.1,9.8,9.1,19.6,16.6,17.1,160,2.36316,0.73000,0.72000
228,VR0228,P0000000132-3E,BUS-228,RBUS-228,3PH,CAB,ABC,425,23,119,3.9,5.4,8.2,5.2,17.6,19.5,11.7,195,2.70425,1.17000,1.40000
229,VR0229,P0000000132-3G,BUS-229,RBUS-229,3PH,BAC,ABC,575,7.2,118,3.8,1.9,4.7,4.7,11.1,11.7,18,190,2.96595,0.26000,1.10000
230,VR0230,P0000000132-3H,BUS-230,RBUS-230,3PH,ABC,ABC,725,34.5,119.8,3.7,6.5,8.8,2.4,7.6,10.2,19,135,2.80845,0.24000,1.25000
231,VR0231,P0000000132-3H1,BUS-231,RBUS-231,3PH,ABC,ABC,700,7.2,121.4,2.1,2.9,4,9,10.4,19.5,11.3,55,2.79738,0.48000,2.14000
232,VR0232,P0000000132-3I,BUS-232,RBUS-232,3PH,CBA,ABC,350,23,121,1.4,6.2,6.3,5.5,12.2,14.8,10.9,105,2.63453,0.61000,2.48000
233,VR0233,P0000000132-5,BUS-233,RBUS-233,3PH,BCA,ABC,425,34.5,121.8,1.9,5.3,1.3,1.6,14.4,10.7,14.7,165,2.13636,0.21000,0.96000
234,VR0234,P0000000132-9,BUS-234,RBUS-234,3PH,CBA,ABC,850,34.5,119.4,2.8,2.7,3.2,4.2,18.3,10.7,18.8,90,2.39633,0.76000,0.63000
235,VR0235,P0000000132-14,BUS-235,RBUS-235,3PH,BAC,ABC,750,23,119.1,2.3,8.9,4.2,3,14.7,14.5,11.5,90,2.61098,1.37000,2.12000
236,VR0236,P0000000134,BUS-236,RBUS-236,3PH,BCA,CBA,575,13.8,121,3.4,9.3,2.1,6.9,19.7,11.3,16.2,195,2.31808,0.81000,2.39000
237,VR0237,P0000000134-2,BUS-237,RBUS-237,3PH,ABC,CBA,325,7.2,120.7,3,3.1,3.7,2.9,6.8,14.9,13.1,130,2.62285,0.51000,1.99000
238,VR0238,P0000000136,BUS-238,RBUS-238,3PH,ABC,ABC,850,34.5,119.6,2.6,5.5,3.8,4.1,16.9,5.1,17,50,2.96666,0.92000,0.68000
239,VR0239,P0000000137,BUS-239,RBUS-239,3PH,CAB,ABC,500,7.2,120.2,3.6,4.2,8.5,9.8,5.5,16.9,10.4,130,2.17688,1.16000,0.71000
