Count,Primary Distribution Line  Segment ID,From_Bus_ID,To_Bus_ID,Phasing,Configuration,System Grounding Type,Length         (meters),Conductor Type,Conductor Size,Unit (C) ,Strands (C) ,Neutral Wire Type,Neutral Wire Size,Unit (NW),Strands (NW),Spacing D12 (meters),Spacing D23 (meters),Spacing D13 (meters),Spacing D1n (meters),Spacing D2n (meters),Spacing D3n (meters),Spacing DC1-C2       (meters),Height H1   (meters),Height H2   (meters),Height H3   (meters),Height Hn   (meters),Earth Resistivity (Ohm-meter),latitude,longitude,Feeder
96,DXTUNGAF1A0100-72M,P0000000100-72,P0000000100-72M,CN,Vertical,Multi-grounded,972,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.29752874,124.694851,F1
97,DXTUNGAF1A0100-72Q,P0000000100-72M,P0000000100-72Q,CN,Vertical,Multi-grounded,403,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.29781842,124.6941698,F1
98,DXTUNGAF1A0100-72Q8,P0000000100-72Q,P0000000100-72Q8,CN,Vertical,Multi-grounded,528,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.2978828,124.6939605,F1
99,DXTUNGAF1A0100-72Q8c,P0000000100-72Q8,P0000000100-72Q8c,CN,Vertical,Multi-grounded,193,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.29838169,124.6938264,F1
100,DXTUNGAF1A0100-72Q12,P0000000100-72Q8,P0000000100-72Q12,CN,Vertical,Multi-grounded,238,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.29892886,124.6937513,F1
101,DXTUNGAF1A0100-72Y,P0000000100-72Q,P0000000100-72Y,CN,Vertical,Multi-grounded,703,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.2993902,124.6936762,F1
102,DXTUNGAF1A0100-74,P0000000100-72,P0000000100-74,CN,Vertical,Multi-grounded,114,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.29990518,124.6935958,F1
103,DXTUNGAF1A0100-79,P0000000100-74,P0000000100-79,CN,Vertical,Multi-grounded,298,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.30044162,124.6934938,F1
104,DXTUNGAF1A0100-85,P0000000100-79,P0000000100-85,CN,Vertical,Multi-grounded,349,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.30072594,124.6934563,F1
105,DXTUNGAF1C0102,P0000000100,P0000000102,ABCN,Triangular,Multi-grounded,146,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.30073667,124.6928716,F1
106,DXTUNGAF1C0106,P0000000102,P0000000106,ABCN,Triangular,Multi-grounded,250,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.30077958,124.692319,F1
107,DXTUNGAF1C0106A,P0000000106,P000000106A,ABCN,Triangular,Multi-grounded,2,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.30085468,124.6918094,F1
108,DXTUNGAF1C0106-1,P0000000106,P0000000106-1,BN,Vertical,Multi-grounded,81,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.30089223,124.6914017,F1
109,DXTUNGAF1C0106-2,P0000000106-1,P0000000106-2,BN,Vertical,Multi-grounded,81,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.30094588,124.6910423,F1
110,DXTUNGAF1C0108,P0000000106,P0000000108,ABCN,Triangular,Multi-grounded,148,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.30095124,124.6910423,F1
111,DXTUNGAF1C0108-4,P0000000108,P0000000108-4,ABCN,Triangular,Multi-grounded,229,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.30099952,124.6907258,F1
112,DXTUNGAF1C0108-4A,P0000000108-4,P0000000108-4A,ABCN,Triangular,Multi-grounded,2,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.30101025,124.6903449,F1
113,DXTUNGAF1C0108-4b,P0000000108-4,P0000000108-4b,AN,Vertical,Multi-grounded,90,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.30103171,124.6899587,F1
114,DXTUNGAF1C0108-5,P0000000108-4,P0000000108-5,ABCN,Triangular,Multi-grounded,55,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.30105853,124.6895778,F1
115,DXTUNGAF1C0108-7A,P0000000108-5,P0000000108-7,ABCN,Triangular,Multi-grounded,135,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.30052209,124.689551,F1
116,DXTUNGAF1C0108-7B,P0000000108-7,P0000000108-7A,ABCN,Triangular,Multi-grounded,2,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.30006611,124.6895134,F1
117,DXTUNGAF1C0108-8,P0000000108-7,P0000000108-8,ABCN,Triangular,Multi-grounded,83,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.29941165,124.6894813,F1
118,DXTUNGAF1C0108-10,P0000000108-8,P0000000108-10,ABCN,Triangular,Multi-grounded,105,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.29884839,124.6894437,F1
119,DXTUNGAF1C0108-11,P0000000108-10,P0000000108-11,ABCN,Triangular,Multi-grounded,44,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.29826367,124.6894062,F1
120,DXTUNGAF1A0108-12,P0000000108-11,P0000000108-12,ABCN,Triangular,Multi-grounded,98,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.29820466,124.6888161,F1
121,DXTUNGAF1A0108-12b,P0000000108-12,P0000000108-12b,AN,Vertical,Multi-grounded,146,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.29815638,124.688285,F1
122,DXTUNGAF1A0108-12f,P0000000108-12b,P0000000108-12f,AN,Vertical,Multi-grounded,209,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.29810274,124.6877486,F1
123,DXTUNGAF1A0108-12h,P0000000108-12f,P0000000108-12h,AN,Vertical,Multi-grounded,85,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.29806519,124.6873248,F1
124,DXTUNGAF1C0108-18,P0000000108-12,P0000000108-18,ABCN,Triangular,Multi-grounded,210,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.29802764,124.6868581,F1
125,DXTUNGAF1C0108-19,P0000000108-18,P0000000108-19,ABCN,Triangular,Multi-grounded,71,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.29799008,124.6864128,F1
126,DXTUNGAF1C0108-20,P0000000108-19,P0000000108-20,ABCN,Triangular,Multi-grounded,72,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.2979418,124.6858174,F1
127,DXTUNGAF1A0108-20C,P0000000108-20,P0000000108-20C,BN,Vertical,Multi-grounded,157,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.29790425,124.6854633,F1
128,DXTUNGAF1A0108-20O,P0000000108-20C,P0000000108-20O,BN,Vertical,Multi-grounded,827,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.29786134,124.6849376,F1
129,DXTUNGAF1A0108-21,P0000000108-20,P0000000108-21,ABCN,Triangular,Multi-grounded,76,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.29781306,124.6844923,F1
130,DXTUNGAF1A0108-21b,P0000000108-21,P0000000108-21b,BN,Vertical,Multi-grounded,76,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.29777014,124.6839452,F1
131,DXTUNGAF1A0108-24,P0000000108-21,P0000000108-24,ABCN,Triangular,Multi-grounded,215,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.2977165,124.6833444,F1
132,DXTUNGAF1A0108-24A,P0000000108-24,P0000000108-24A,AN,Vertical,Multi-grounded,173,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.29766822,124.6828777,F1
133,DXTUNGAF1A0108-24-1,P0000000108-24,P0000000108-24-1,BN,Vertical,Multi-grounded,30,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.29791498,124.6821964,F1
134,DXTUNGAC00108-30,P0000000108-24,P0000000108-30,ABCN,TRIANGULAR,Multi-grounded,245,ACSR,2/0,AWG,06-Jan,ACSR,2/0,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.29826367,124.6815741,F1
135,DXTUNGAC00108-33,P0000000108-30,P0000000108-33,ABCN,TRIANGULAR,Multi-grounded,245,ACSR,2/0,AWG,06-Jan,ACSR,2/0,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.29860699,124.6809518,F1
136,DXTUNGAC00108-45,P0000000108-33,P0000000108-45,ABCN,TRIANGULAR,Multi-grounded,1083,ACSR,2/0,AWG,06-Jan,ACSR,2/0,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.29893959,124.6803081,F1
137,DXTUNGAA00108-45H,P0000000108-45,P0000000108-45H,CN,VERTICAL,Multi-grounded,670,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100,11.29896104,124.6796161,F1
138,DXTUNGAC00108-45A,P0000000108-45,P0000000108-45A,ABCN,TRIANGULAR,Multi-grounded,2,ACSR,2/0,AWG,06-Jan,ACSR,2/0,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.29901469,124.6788436,F1
139,DXTUNGAC00108-58,P0000000108-45,P0000000108-58,ABCN,TRIANGULAR,Multi-grounded,996,ACSR,2/0,AWG,06-Jan,ACSR,2/0,AWG,06-Jan,1.382606235,1.382606235,2.61,1.48,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.2990576,124.6781516,F1
140,DXTUNGAA00108-58M,P0000000108-58,P0000000108-58M,CN,VERTICAL,Multi-grounded,1061,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100,11.29910052,124.6774167,F1
141,DXTUNGAA00108-58R,P0000000108-58M,P0000000108-58R,CN,VERTICAL,Multi-grounded,306,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100,11.29914343,124.6767139,F1
142,DXTUNGAA00108-58R11,P0000000108-58R,P0000000108-58R11,CN,VERTICAL,Multi-grounded,1143,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100,11.29920244,124.6760219,F1
143,DXTUNGAA00108-58AA,P0000000108-58R,P0000000108-58AA,CN,VERTICAL,Multi-grounded,633,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100,11.29920781,124.6753031,F1
144,DXTUNGAA00108-58AN,P0000000108-58AA,P0000000108-58AN,CN,VERTICAL,Multi-grounded,1187,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100,11.29895032,124.6740693,F1
145,DXTUNGAA00108-58AN9,P0000000108-58AN,P0000000108-58AN9,CN,VERTICAL,Multi-grounded,650,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100,11.29880011,124.6733235,F1
146,DXTUNGAA00108-58AO,P0000000108-58AN,P0000000108-58AO,CN,VERTICAL,Multi-grounded,84,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.29864454,124.6726424,F1
147,DXTUNGAA00108-58AO4,P0000000108-58AO,P0000000108-58AO4,CN,VERTICAL,Multi-grounded,248,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100,11.29842997,124.6719503,F1
148,DXTUNGAA00108-58AV,P0000000108-58AO,P0000000108-58AV,CN,VERTICAL,Multi-grounded,461,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100,11.29817247,124.6712798,F1
149,DXTUNGAC00108-59,P0000000108-58,P0000000108-59,ABCN,TRIANGULAR,Multi-grounded,66,ACSR,2/0,AWG,06-Jan,ACSR,2/0,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.29796326,124.6706253,F1
150,DXTUNGAC00108-59A,P0000000108-59,P0000000108-59A,ABCN,TRIANGULAR,Multi-grounded,2,ACSR,2/0,AWG,06-Jan,ACSR,2/0,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.2977165,124.6699655,F1
151,DXTUNGAA00108-59f,P0000000108-59,P0000000108-59f,AN,VERTICAL,Multi-grounded,430,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100,11.29745364,124.6692252,F1
152,DXTUNGAA00108-59j,P0000000108-59f,P0000000108-59j,AN,VERTICAL,Multi-grounded,218,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100,11.29721224,124.6685761,F1
153,DXTUNGAA00108-59p,P0000000108-59j,P0000000108-59p,AN,VERTICAL,Multi-grounded,411,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.29697084,124.6678787,F1
154,DXTUNGAC00108-60,P0000000108-59,P0000000108-60,ABCN,TRIANGULAR,Multi-grounded,77,ACSR,2/0,AWG,06-Jan,ACSR,2/0,AWG,06-Jan,1.382606235,1.382606235,2.61,1.48,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.29670799,124.6671653,F1
155,DXTUNGAC00108-63,P0000000108-60,P0000000108-63,ABCN,TRIANGULAR,Multi-grounded,70,ACSR,2/0,AWG,06-Jan,ACSR,2/0,AWG,06-Jan,1.382606235,1.382606235,2.61,1.48,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.29645586,124.6664625,F1
156,DXTUNGAF1C0110,P0000000108,P0000000110,ABCN,Triangular,Multi-grounded,107,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.29623056,124.6657866,F1
157,DXTUNGAF1C0111,P0000000110,P0000000111,ABCN,Triangular,Multi-grounded,72,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.29599452,124.6650892,F1
158,DXTUNGAF1C0111A,P0000000111,P000000111A,ABCN,Triangular,Multi-grounded,2,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.29577458,124.6643811,F1
159,DXTUNGAF1C0112,P0000000111,P0000000112,ABCN,Triangular,Multi-grounded,89,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.48,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.29556,124.6636784,F1
160,DXTUNGAF1C0113,P0000000112,P0000000113,ABCN,Triangular,Multi-grounded,89,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.48,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.29535079,124.6630025,F1
161,DXTUNGAF1A0115,P0000000113,P0000000115,ABCN,Triangular,Multi-grounded,62,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.48,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.29514158,124.6623319,F1
162,DXTUNGAF1C0115A,P0000000115,P000000115A,ABCN,Triangular,Multi-grounded,2,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.48,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.29493237,124.6615809,F1
163,DXTUNGAF1C0115B,P000000115A,P000000115B,ABCN,Triangular,Multi-grounded,2,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.48,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.29472315,124.6608943,F1
164,DXTUNGAF1C0115C,P000000115B,P000000115C,ABCN,Triangular,Multi-grounded,2,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.48,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.29434764,124.660272,F1
165,DXTUNGAF1A0115-4,P0000000115,P0000000115-4,AN,Vertical,Multi-grounded,245,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62,0,0,6.554878049,100,11.29404187,124.6596015,F1
166,DXTUNGAF1C0116,P0000000115,P0000000116,ABCN,Triangular,Multi-grounded,55,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.48,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.29392386,124.6589148,F1
167,DXTUNGAF1C0117,P0000000116,P0000000117,BCAN,Triangular,Multi-grounded,44,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.48,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.29377365,124.6581692,F1
168,DXTUNGAF1A0117B,P0000000117,P000000117B,BN,Vertical,Multi-grounded,85,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.29360199,124.657284,F1
169,DXTUNGAF1A0119,P0000000117,P0000000119,ABCN,Triangular,Multi-grounded,123,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.29347324,124.6566081,F1
170,DXTUNGAF1A0119-3,P0000000119,P0000000119-3,ABCN,Triangular,Multi-grounded,156,ACSR,1/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.48,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.2933284,124.6558625,F1
171,DXTUNGAF1C0121,P0000000119,P0000000121,ABCN,Triangular,Multi-grounded,80,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.48,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.29319429,124.6551865,F1
172,DXTUNGAF1C0121A,P0000000121,P000000121A,ABCN,Triangular,Multi-grounded,2,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.29306555,124.6544784,F1
173,DXTUNGAF1C0122,P0000000121,P0000000122,BACN,Triangular,Multi-grounded,53,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.29293144,124.6537811,F1
174,DXTUNGAF1C0122A,P0000000122,P000000122A,BACN,Triangular,Multi-grounded,2,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.29279196,124.6530837,F1
175,DXTUNGAF1C0122-3,P0000000122,P0000000122-3,BN,Vertical,Multi-grounded,173,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100,11.29266858,124.6523649,F1
176,DXTUNGAF1C0122-3-2,P0000000122-3,P0000000122-3b,BN,Vertical,Multi-grounded,98,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100,11.29256666,124.6516514,F1
177,DXTUNGAF1C0122-4,P0000000122-3,P0000000122-4,BN,Vertical,Multi-grounded,60,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100,11.29249692,124.6509486,F1
178,DXTUNGAF1C00125,P0000000122,P0000000125,ABCN,Triangular,Multi-grounded,193,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.29243791,124.6504605,F1
179,DXTUNGAF1C0125A,P0000000125,P000000125A,ABCN,Triangular,Multi-grounded,2,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.48,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.29229307,124.6496934,F1
180,DXTUNGAF1C0126,P0000000125,P0000000126,ABCN,Triangular,Multi-grounded,45,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.48,1.15,1.475161008,0,8.69,9.15,8.69,8,100,11.29217506,124.6489584,F1
181,DXTUNGAF1A0126-2,P0000000126,P0000000126-2,ABN,Horizontal,Multi-grounded,79,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,2.33739837,0,0,1.65435169,1.65435169,0,0,7.62195122,7.62195122,0,6.40243902,100,11.29205167,124.6482557,F1
182,DXTUNGAF1A0126-6,P0000000126-2,P0000000126-6,ABN,Horizontal,Multi-grounded,204,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,2.33739837,0,0,1.65435169,1.65435169,0,0,7.62195122,7.62195122,0,6.40243902,100,11.29200339,124.6478963,F1
183,DXTUNGAF1A0126-8,P0000000126-6,P0000000126-8,ABN,Horizontal,Multi-grounded,90,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,2.33739837,0,0,1.65,1.65435169,0,0,7.62195122,7.62195122,0,6.40243902,100,11.29228234,124.6472311,F1
184,DXTUNGAF1A0126-8A,P0000000126-8,P0000000126-8A,BN,Vertical,Multi-grounded,56,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.29260421,124.6465659,F1
185,DXTUNGAF1A0126-8B,P0000000126-8A,P0000000126-8B,BN,Vertical,Multi-grounded,52,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.2929368,124.6459115,F1
186,DXTUNGAF1A0126-8B1,P0000000126-8B,P0000000126-8B1,BN,Vertical,Multi-grounded,2,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.2932533,124.6452516,F1
187,DXTUNGAF1A0126-8B1,P0000000126-8,P0000000126-8a,AN,Horizontal,Multi-grounded,2,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.2934196,124.6448493,F1
188,DXTUNGAF1A0126-8b,P0000000126-8a,P0000000126-8b,AN,Vertical,Multi-grounded,65,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100,11.29353225,124.6441358,F1
189,DXTUNGAF1A0126-10,P0000000126-8,P0000000126-10,AN,Vertical,Multi-grounded,90,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100,11.29363418,124.6434116,F1
