from_bus,to_bus,from_pole,to_pole,connection_type,feeder,circuit,geometry_type
99-4-A,99-4-a,99-4-A,99-4-a,Primary_to_Primary,F6,V Phase,sequential
99-4-a,99-5,99-4-a,99-5,Primary_to_Primary,F6,V Phase,sequential
99-5,99-6,99-5,99-6,Primary_to_Primary,F6,V Phase,sequential
99-6,99-6-A,99-6,99-6-A,Primary_to_Primary,F6,V Phase,sequential
99-6-A,99-6-B,99-6-A,99-6-B,Primary_to_Primary,F6,V Phase,sequential
99-6-B,99-6-B-a,99-6-B,99-6-B-a,Primary_to_Primary,F6,V Phase,sequential
99-6-B-a,99-6-a,99-6-B-a,99-6-a,Primary_to_Primary,F6,V Phase,sequential
99-6-a,99-7,99-6-a,99-7,Primary_to_Primary,F6,V Phase,sequential
99-7,99-8,99-7,99-8,Primary_to_Primary,F6,V Phase,sequential
75,82,75,82,Primary_to_Primary,F7,3 Phase,sequential
82,83,82,83,Primary_to_Primary,F7,3 Phase,sequential
83,84,83,84,Primary_to_Primary,F7,3 Phase,sequential
84,85,84,85,Primary_to_Primary,F7,3 Phase,sequential
85,86,85,86,Primary_to_Primary,F7,3 Phase,sequential
86,87,86,87,Primary_to_Primary,F7,3 Phase,sequential
87,88,87,88,Primary_to_Primary,F7,3 Phase,sequential
88,89,88,89,Primary_to_Primary,F7,3 Phase,sequential
89,90,89,90,Primary_to_Primary,F7,3 Phase,sequential
90,91,90,91,Primary_to_Primary,F7,3 Phase,sequential
91,92,91,92,Primary_to_Primary,F7,3 Phase,sequential
92,93,92,93,Primary_to_Primary,F7,3 Phase,sequential
93,94,93,94,Primary_to_Primary,F7,3 Phase,sequential
94,95,94,95,Primary_to_Primary,F7,3 Phase,sequential
95,96,95,96,Primary_to_Primary,F7,3 Phase,sequential
96,97,96,97,Primary_to_Primary,F7,3 Phase,sequential
97,98,97,98,Primary_to_Primary,F7,3 Phase,sequential
98,99,98,99,Primary_to_Primary,F7,3 Phase,sequential
99,104,99,104,Primary_to_Primary,F7,3 Phase,sequential
104,105,104,105,Primary_to_Primary,F7,3 Phase,sequential
105,106,105,106,Primary_to_Primary,F7,3 Phase,sequential
106,107,106,107,Primary_to_Primary,F7,3 Phase,sequential
107,108,107,108,Primary_to_Primary,F7,3 Phase,sequential
108,109,108,109,Primary_to_Primary,F7,3 Phase,sequential
109,110,109,110,Primary_to_Primary,F7,3 Phase,sequential
110,111,110,111,Primary_to_Primary,F7,3 Phase,sequential
111,112,111,112,Primary_to_Primary,F7,3 Phase,sequential
112,113,112,113,Primary_to_Primary,F7,3 Phase,sequential
113,117,113,117,Primary_to_Primary,F7,3 Phase,sequential
117,118,117,118,Primary_to_Primary,F7,3 Phase,sequential
118,119,118,119,Primary_to_Primary,F7,3 Phase,sequential
119,120,119,120,Primary_to_Primary,F7,3 Phase,sequential
120,121,120,121,Primary_to_Primary,F7,3 Phase,sequential
121,122,121,122,Primary_to_Primary,F7,3 Phase,sequential
122,123,122,123,Primary_to_Primary,F7,3 Phase,sequential
123,124,123,124,Primary_to_Primary,F7,3 Phase,sequential
124,125,124,125,Primary_to_Primary,F7,3 Phase,sequential
125,126,125,126,Primary_to_Primary,F7,3 Phase,sequential
126,127,126,127,Primary_to_Primary,F7,3 Phase,sequential
127,128,127,128,Primary_to_Primary,F7,3 Phase,sequential
128,129,128,129,Primary_to_Primary,F7,3 Phase,sequential
129,130,129,130,Primary_to_Primary,F7,3 Phase,sequential
130,131,130,131,Primary_to_Primary,F7,3 Phase,sequential
131,137,131,137,Primary_to_Primary,F7,3 Phase,sequential
137,138,137,138,Primary_to_Primary,F7,3 Phase,sequential
138,139,138,139,Primary_to_Primary,F7,3 Phase,sequential
139,141,139,141,Primary_to_Primary,F7,3 Phase,sequential
141,142,141,142,Primary_to_Primary,F7,3 Phase,sequential
142,143,142,143,Primary_to_Primary,F7,3 Phase,sequential
143,144,143,144,Primary_to_Primary,F7,3 Phase,sequential
144,145,144,145,Primary_to_Primary,F7,3 Phase,sequential
145,148,145,148,Primary_to_Primary,F7,3 Phase,sequential
148,149,148,149,Primary_to_Primary,F7,3 Phase,sequential
149,135-1,149,135-1,Primary_to_Primary,F7,3 Phase,sequential
135-1,135-2,135-1,135-2,Primary_to_Primary,F7,3 Phase,sequential
135-2,135-3,135-2,135-3,Primary_to_Primary,F7,3 Phase,sequential
135-3,135-4,135-3,135-4,Primary_to_Primary,F7,3 Phase,sequential
135-4,135-5,135-4,135-5,Primary_to_Primary,F7,3 Phase,sequential
135-5,135-6,135-5,135-6,Primary_to_Primary,F7,3 Phase,sequential
135-6,135-7,135-6,135-7,Primary_to_Primary,F7,3 Phase,sequential
135-7,135-8,135-7,135-8,Primary_to_Primary,F7,3 Phase,sequential
135-8,135-9,135-8,1359,Primary_to_Primary,F7,3 Phase,sequential
135-9,135-9,1359,135-9,Primary_to_Primary,F7,3 Phase,sequential
135-9,141-1,135-9,141-1,Primary_to_Primary,F7,3 Phase,sequential
141-1,135-10,141-1,135-10,Primary_to_Primary,F7,3 Phase,sequential
135-10,135-11,135-10,135-11,Primary_to_Primary,F7,3 Phase,sequential
135-11,135-12,135-11,135-12,Primary_to_Primary,F7,3 Phase,sequential
135-12,135-13,135-12,135-13,Primary_to_Primary,F7,3 Phase,sequential
135-13,135-14,135-13,135-14,Primary_to_Primary,F7,3 Phase,sequential
135-14,135-15,135-14,135-15,Primary_to_Primary,F7,3 Phase,sequential
135-15,135-16,135-15,135-16,Primary_to_Primary,F7,3 Phase,sequential
135-16,135-17,135-16,135-17,Primary_to_Primary,F7,3 Phase,sequential
135-17,135-18,135-17,135-18,Primary_to_Primary,F7,3 Phase,sequential
135-18,135-19,135-18,135-19,Primary_to_Primary,F7,3 Phase,sequential
135-19,135-20,135-19,135-20,Primary_to_Primary,F7,3 Phase,sequential
135-20,135-20--a,135-20,135-20-a,Primary_to_Primary,F7,3 Phase,sequential
135-20--a,135-20--b,135-20-a,135-20-b,Primary_to_Primary,F7,3 Phase,sequential
135-20--b,135-20--c,135-20-b,135-20-c,Primary_to_Primary,F7,3 Phase,sequential
135-20--c,135-20--d,135-20-c,135-20-d,Primary_to_Primary,F7,3 Phase,sequential
135-20--d,135-21,135-20-d,135-21,Primary_to_Primary,F7,3 Phase,sequential
135-21,135-22,135-21,135-22,Primary_to_Primary,F7,3 Phase,sequential
99-A,99-B,99-A,99-B,Primary_to_Primary,F7,Single Phase,sequential
99-B,99-C,99-B,99-C,Primary_to_Primary,F7,Single Phase,sequential
99-C,99-D,99-C,99-D,Primary_to_Primary,F7,Single Phase,sequential
99-D,99-E,99-D,99-E,Primary_to_Primary,F7,Single Phase,sequential
99-E,99-F,99-E,99-F,Primary_to_Primary,F7,Single Phase,sequential
99-F,99-G,99-F,99-G,Primary_to_Primary,F7,Single Phase,sequential
99-G,99-H,99-G,99-H,Primary_to_Primary,F7,Single Phase,sequential
99-H,99-I,99-H,99-I,Primary_to_Primary,F7,Single Phase,sequential
99-I,131-a,99-I,131-a,Primary_to_Primary,F7,Single Phase,sequential
131-a,131-b,131-a,131-b,Primary_to_Primary,F7,Single Phase,sequential
131-b,131-c,131-b,131-c,Primary_to_Primary,F7,Single Phase,sequential
131-c,131-d,131-c,131-d,Primary_to_Primary,F7,Single Phase,sequential
131-d,131-e,131-d,131-e,Primary_to_Primary,F7,Single Phase,sequential
131-e,131-f,131-e,131-f,Primary_to_Primary,F7,Single Phase,sequential
131-f,131-g,131-f,131-g,Primary_to_Primary,F7,Single Phase,sequential
131-g,123-1,131-g,123-1,Primary_to_Primary,F7,Single Phase,sequential
123-1,123-2,123-1,123-2,Primary_to_Primary,F7,Single Phase,sequential
123-2,123-3,123-2,123-3,Primary_to_Primary,F7,Single Phase,sequential
123-3,128-1,123-3,128-1,Primary_to_Primary,F7,Single Phase,sequential
128-1,131-g-1,128-1,131-g-1,Primary_to_Primary,F7,Single Phase,sequential
131-g-1,131-g-2,131-g-1,131-g-2,Primary_to_Primary,F7,Single Phase,sequential
131-g-2,131-g-3,131-g-2,131-g-3,Primary_to_Primary,F7,Single Phase,sequential
131-g-3,131-g-4,131-g-3,131-g-4,Primary_to_Primary,F7,Single Phase,sequential
131-g-4,131-g-5,131-g-4,131-g-5,Primary_to_Primary,F7,Single Phase,sequential
131-g-5,131-g-6,131-g-5,131-g-6,Primary_to_Primary,F7,Single Phase,sequential
131-g-6,131-g-7,131-g-6,131-g-7,Primary_to_Primary,F7,Single Phase,sequential
131-g-7,131-g-8,131-g-7,131-g-8,Primary_to_Primary,F7,Single Phase,sequential
131-g-8,135-10--a,131-g-8,135-10-a,Primary_to_Primary,F7,Single Phase,sequential
135-10--a,135-10--b,135-10-a,135-10-b,Primary_to_Primary,F7,Single Phase,sequential
135-10--b,135-10--b-1,135-10-b,135-10-b-1,Primary_to_Primary,F7,Single Phase,sequential
135-10--b-1,135-10--b-2,135-10-b-1,135-10-b-2,Primary_to_Primary,F7,Single Phase,sequential
135-10--b-2,135-10--b-3,135-10-b-2,135-10-b-3,Primary_to_Primary,F7,Single Phase,sequential
135-10--b-3,135-10--b-4,135-10-b-3,135-10-b-4,Primary_to_Primary,F7,Single Phase,sequential
135-10--b-4,135-10--b-5,135-10-b-4,135-10-b-5,Primary_to_Primary,F7,Single Phase,sequential
