Count,Series Inductor ID,"From 
Bus ID","To  
Bus ID",Phase Type,Phasing,Voltage Rating (kV),Resistance Phase A (Ohms),Resistance Phase B (Ohms),Resistance Phase C (Ohms),Reactance Phase A (Ohms),Reactance Phase B (Ohms),Reactance Phase C (Ohms)
222,SIND0222,P0000000130-117,P00000001-222A,4,CA,7.62,0.93500,0.10100,1.13000,6.26500,6.96900,5.62600
223,SIND0223,P0000000132,P00000001-223A,4,ABC,69,0.60200,1.31500,1.20200,1.66700,2.34600,9.57300
224,SIND0224,P0000000132-3,P00000001-224A,2,AB,69,0.33200,1.19500,0.26500,9.01100,1.47200,1.78300
225,SIND0225,P0000000132-3B,P00000001-225A,4,C,69,1.09100,0.18600,1.00800,1.46900,7.23600,7.91300
226,SIND0226,P0000000132-3D,P00000001-226A,4,AB,4.16,0.20600,0.25400,1.41700,8.92300,1.20400,9.54200
227,SIND0227,P0000000132-3D1,P00000001-227A,4,A,13.8,0.48100,0.95000,1.03300,7.74800,1.05000,3.30100
228,SIND0228,P0000000132-3E,P00000001-228A,1,BC,23,0.96300,1.10200,1.43900,8.24400,4.41900,8.44700
229,SIND0229,P0000000132-3G,P00000001-229A,4,B,13.8,1.12300,0.46000,0.68100,7.31900,2.46400,6.00900
230,SIND0230,P0000000132-3H,P00000001-230A,3,BC,7.62,0.45200,0.79000,1.24400,0.68000,5.31100,3.96700
231,SIND0231,P0000000132-3H1,P00000001-231A,4,AB,34.5,0.95100,0.25300,0.09900,5.80900,4.20300,0.75400
232,SIND0232,P0000000132-3I,P00000001-232A,3,A,34.5,0.63200,0.23500,0.61900,3.96400,6.87400,6.55000
233,SIND0233,P0000000132-5,P00000001-233A,4,C,23,1.25200,1.24100,1.39800,6.09700,6.00100,5.45000
234,SIND0234,P0000000132-9,P00000001-234A,4,AB,23,1.26300,0.54300,1.47500,2.67200,9.26000,4.93400
235,SIND0235,P0000000132-14,P00000001-235A,4,ABC,7.62,1.26200,0.12100,1.42500,2.76000,5.23100,4.88800
236,SIND0236,P0000000134,P00000001-236A,4,CA,23,1.29600,0.46100,0.36500,2.68400,3.85100,5.33100
237,SIND0237,P0000000134-2,P00000001-237A,1,A,34.5,0.68500,0.49500,0.72600,6.99100,0.87400,2.79600
238,SIND0238,P0000000136,P00000001-238A,4,ABC,13.8,0.18700,0.17100,1.24200,7.18800,4.88600,2.36700
239,SIND0239,P0000000137,P00000001-239A,4,C,12.47,0.66900,0.17200,0.79800,5.89900,5.78400,1.57500
