Count,Secondary Distribution Line ID,From Bus ID,To  Bus ID,Phasing,Installation Type,Length         (meters),Conductor Type,Conductor Size,Unit (C) 
308,UBA0309,S0044-0029-0036,S0044-0029-0037,AN,1,60,ACSR,2,AWG
309,UBA0310,S0044-0029-0037,S0044-0029-0038,AN,1,41,ACSR,2,AWG
310,UBA0311,S0044-0029-0038,S0044-0029-0039,AN,1,52,ACSR,2,AWG
311,UBA0312,S0044-0029-0039,S0044-0029-0040,AN,1,101,ACSR,2,AWG
312,UBA0313,S0044-0029-0040,S0044-0029-0041,AN,1,53,ACSR,2,AWG
313,OSA0314,S0044-0029-019A,S0044-0029-019B,AN,2,63,ACSR,2,AWG
314,UBA0315,S0044-0064-0002,S0044-0064-0001,AN,1,34,ACSR,2,AWG
315,UBA0316,S0044-0064-0003,S0044-0064-0002,AN,1,57,ACSR,2,AWG
316,UBA0317,S0044-0064-0004,S0044-0064-0003,AN,1,52,ACSR,2,AWG
317,UBA0318,S0044-0064-0005,S0044-0064-0004,AN,1,72,ACSR,2,AWG
318,UBA0319,S0044-0064-0006,S0044-0064-0005,AN,1,61,ACSR,2,AWG
319,UBA0320,S0044-0064-0007,S0044-0064-0006,AN,1,60,ACSR,2,AWG
320,UBA0321,S0044-0064-0008,S0044-0064-0007,AN,1,57,ACSR,2,AWG
321,UBA0322,S0044-0064-0009,S0044-0064-0008,AN,1,62,ACSR,2,AWG
322,UBA0323,S0044-0064-0010,S0044-0064-0009,AN,1,58,ACSR,2,AWG
323,UBA0324,S0044-0064-0011,S0044-0064-0010,AN,1,60,ACSR,2,AWG
324,UBA0325,S0044-0064-0012,S0044-0064-0011,AN,1,77,ACSR,2,AWG
325,UBA0326,S0044-0064-0013,S0044-0064-0014,AN,1,70,ACSR,2,AWG
326,UBA0327,S0044-0064-0013,S0044-0064-0012,AN,1,71,ACSR,2,AWG
327,UBA0328,S0044-0064-0014,S0044-0064-0015,AN,1,67,ACSR,2,AWG
328,UBA0329,S0044-0064-0015,S0044-0064-0016,AN,1,64,ACSR,2,AWG
329,UBA0330,S0044-0064-0016,S0044-0064-0017,AN,1,71,ACSR,2,AWG
330,UBA0331,S0044-0064-0017,S0044-0064-0018,AN,1,58,ACSR,2,AWG
331,UBA0332,S0044-0064-0018,S0044-0064-0019,AN,1,58,ACSR,2,AWG
332,UBA0333,S0044-0064-0019,S0044-0064-0020,AN,1,70,ACSR,2,AWG
333,UBA0334,S0044-0064-0020,S0044-0064-0021,AN,1,68,ACSR,2,AWG
334,UBA0335,S0044-0064-0021,S0044-0064-0022,AN,1,65,ACSR,2,AWG
335,UBA0336,S0044-0064-0022,S0044-0064-0023,AN,1,65,ACSR,2,AWG
336,UBA0337,S0044-0064-0023,S0044-0064-0024,AN,1,86,ACSR,2,AWG
337,UBA0338,DT0000000045,S000045-0000002,AN,1,1,ACSR,2,AWG
338,OSA0339,S000045-0000001,S000045-000001a,AN,2,72,ACSR,2,AWG
339,UBA0340,S000045-0000002,S000045-0000003,AN,1,56,ACSR,2,AWG
340,UBA0341,S000045-0000002,S000045-0000001,AN,1,56,ACSR,2,AWG
341,OSA0342,S000045-0000003,S000045-000003A,AN,2,72,ACSR,2,AWG
342,UBA0343,S000045-0000003,S000045-0000004,AN,1,85,ACSR,2,AWG
343,OSA0344,S000045-0000004,S000045-000004a,AN,2,55,ACSR,2,AWG
344,UBA0345,S000045-0000004,S000045-0000005,AN,1,106,ACSR,2,AWG
345,OSA0346,S000045-0000005,S000045-000005a,AN,2,55,ACSR,2,AWG
346,UBA0347,S000045-0000005,S000045-0000006,AN,1,116,ACSR,2,AWG
347,OSA0348,S000045-000001a,S000045-000001b,AN,2,55,ACSR,2,AWG
348,OSA0349,S000045-000001b,S000045-000001c,AN,2,55,ACSR,2,AWG
349,OSA0350,S000045-000001c,S000045-000001d,AN,2,109,ACSR,2,AWG
350,OSA0351,S000045-000001d,S000045-000001e,AN,2,92,ACSR,2,AWG
351,OSA0352,S000045-000001e,S000045-000001f,AN,2,67,ACSR,2,AWG
352,OSA0353,S000045-000001f,S000045-000001g,AN,2,73,ACSR,2,AWG
353,OSA0354,S000045-000001g,S000045-000001h,AN,2,86,ACSR,2,AWG
354,OSA0355,S000045-000001h,S000045-000001i,AN,2,71,ACSR,2,AWG
355,OSA0356,S000045-000001i,S000045-000001j,AN,2,63,ACSR,2,AWG
356,UBA0357,DT0000000046-22,S0046-0022-0012,AN,1,1,ACSR,2,AWG
357,UBA0358,S0046-0022-0002,S0046-0022-0001,AN,1,71,ACSR,2,AWG
358,UBA0359,S0046-0022-0003,S0046-0022-0002,AN,1,66,ACSR,2,AWG
359,UBA0360,S0046-0022-0004,S0046-0022-0003,AN,1,69,ACSR,2,AWG
360,UBA0361,S0046-0022-0005,S0046-0022-0004,AN,1,55,ACSR,2,AWG
361,UBA0362,S0046-0022-0006,S0046-0022-0005,AN,1,59,ACSR,2,AWG
362,UBA0363,S0046-0022-0007,S0046-0022-0006,AN,1,54,ACSR,2,AWG
363,UBA0364,S0046-0022-0008,S0046-0022-0007,AN,1,52,ACSR,2,AWG
364,OSA0365,S0046-0022-0009,S0046-0022-009a,AN,2,89,ACSR,2,AWG
365,UBA0366,S0046-0022-0009,S0046-0022-0008,AN,1,60,ACSR,2,AWG
366,UBA0367,S0046-0022-0010,S0046-0022-0009,AN,1,48,ACSR,2,AWG
367,UBA0368,S0046-0022-0011,S0046-0022-0010,AN,1,49,ACSR,2,AWG
368,UBA0369,S0046-0022-0012,S0046-0022-0013,AN,1,70,ACSR,2,AWG
369,UBA0370,S0046-0022-0012,S0046-0022-0011,AN,1,70,ACSR,2,AWG
370,UBA0371,S0046-0022-0013,S0046-0022-0014,AN,1,50,ACSR,2,AWG
371,UBA0372,S0046-0022-0014,S0046-0022-0015,AN,1,58,ACSR,2,AWG
372,UBA0373,S0046-0022-0015,S0046-0022-0016,AN,1,73,ACSR,2,AWG
373,UBA0374,S0046-0022-0016,S0046-0022-0017,AN,1,41,ACSR,2,AWG
374,UBA0375,S0046-0022-0017,S0046-0022-0018,AN,1,65,ACSR,2,AWG
375,UBA0376,S0046-0022-0018,S0046-0022-0019,AN,1,66,ACSR,2,AWG
376,UBA0377,S0046-0022-0019,S0046-0022-0020,AN,1,57,ACSR,2,AWG
377,UBA0378,S0046-0022-0020,S0046-0022-0021,AN,1,51,ACSR,2,AWG
378,UBA0379,S0046-0022-009a,S0046-0022-09a1,AN,1,99,ACSR,2,AWG
379,OSA0380,S0046-0022-009a,S0046-0022-009b,AN,2,70,ACSR,2,AWG
380,OSA0381,S0046-0022-009b,S0046-0022-009c,AN,2,70,ACSR,2,AWG
381,UBA0382,DT0000000049-3,S0049-0003-0004,BN,1,1,ACSR,2,AWG
382,UBA0383,S0049-0003-0002,S0049-0003-0001,BN,1,53,ACSR,2,AWG
383,UBA0384,S0049-0003-0003,S0049-0003-0002,BN,1,42,ACSR,2,AWG
384,UBA0385,S0049-0003-0004,S0049-0003-0005,BN,1,53,ACSR,2,AWG
385,UBA0386,S0049-0003-0004,S0049-0003-0003,BN,1,155,ACSR,2,AWG
386,UBA0387,S0049-0003-0005,S0049-0003-0006,BN,1,38,ACSR,2,AWG
387,UBA0388,S0049-0003-0006,S0049-0003-0007,BN,1,46,ACSR,2,AWG
388,UBA0389,S0049-0003-0007,S0049-0003-0008,BN,1,54,ACSR,2,AWG
389,UBA0390,S0049-0003-0008,S0049-0003-0009,BN,1,40,ACSR,2,AWG
390,UBA0391,S0049-0003-0009,S0049-0003-0010,BN,1,37,ACSR,2,AWG
391,UBA0392,S0049-0003-0010,S0049-0003-0011,BN,1,65,ACSR,2,AWG
392,UBA0393,S0049-0003-0011,S0049-0003-0012,BN,1,52,ACSR,2,AWG
393,UBA0394,S0049-0003-0012,S0049-0003-0013,BN,1,56,ACSR,2,AWG
394,UBA0395,DT0000000054-20,S0054-0020-0010,BN,1,1,ACSR,2,AWG
395,UBA0396,DT0000000054,S000054-0000005,AN,1,1,ACSR,2,AWG
396,UBA0397,S000054-0000002,S000054-0000001,AN,1,130,ACSR,2,AWG
397,UBA0398,S000054-0000003,S000054-0000002,AN,1,49,ACSR,2,AWG
398,UBA0399,S000054-0000004,S000054-0000003,AN,1,64,ACSR,2,AWG
399,OSA0400,S000054-0000005,S000054-000005a,AN,2,20,ACSR,2,AWG
400,UBA0401,S000054-0000005,S000054-0000006,AN,1,44,ACSR,2,AWG
401,UBA0402,S000054-0000005,S000054-0000004,AN,1,60,ACSR,2,AWG
402,UBA0403,S000054-0000006,S000054-0000007,AN,1,64,ACSR,2,AWG
403,UBA0404,S000054-0000007,S000054-0000008,AN,1,73,ACSR,2,AWG
404,UBA0405,S000054-0000008,S000054-0000009,AN,1,66,ACSR,2,AWG
405,OSA0406,S000054-000005a,S000054-000005b,AN,2,65,ACSR,2,AWG
406,OSA0407,S000054-000005b,S000054-000005c,AN,2,95,ACSR,2,AWG
407,OSA0408,S000054-000005c,S000054-000005d,AN,2,79,ACSR,2,AWG
408,OSA0409,S000054-000005d,S000054-000005e,AN,2,64,ACSR,2,AWG
409,OSA0410,S000054-000005e,S000054-000005f,AN,2,89,ACSR,2,AWG
410,OSA0411,S000054-000005f,S000054-000005g,AN,2,69,ACSR,2,AWG
411,OSA0412,S000054-000005g,S000054-000005h,AN,2,87,ACSR,2,AWG
412,OSA0413,S000054-000005h,S000054-000005i,AN,2,30,ACSR,2,AWG
413,OSA0414,S000054-000005i,S000054-000005j,AN,2,81,ACSR,2,AWG
414,OSA0415,S000054-000005j,S000054-000005k,AN,2,74,ACSR,2,AWG
415,UBA0416,S0054-0020-0002,S0054-0020-0001,BN,1,80,ACSR,2,AWG
416,UBA0417,S0054-0020-0003,S0054-0020-0002,BN,1,78,ACSR,2,AWG
417,UBA0418,S0054-0020-0004,S0054-0020-0003,BN,1,75,ACSR,2,AWG
418,UBA0419,S0054-0020-0005,S0054-0020-0004,BN,1,85,ACSR,2,AWG
419,UBA0420,S0054-0020-0006,S0054-0020-0005,BN,1,61,ACSR,2,AWG
420,UBA0421,S0054-0020-0007,S0054-0020-0006,BN,1,66,ACSR,2,AWG
421,OSA0422,S0054-0020-0008,S0054-0020-008A,BN,2,67,ACSR,2,AWG
422,UBA0423,S0054-0020-0008,S0054-0020-0007,BN,1,68,ACSR,2,AWG
423,UBA0424,S0054-0020-0009,S0054-0020-0008,BN,1,54,ACSR,2,AWG
424,UBA0425,S0054-0020-0010,S0054-0020-0011,BN,1,77,ACSR,2,AWG
425,UBA0426,S0054-0020-0010,S0054-0020-0009,BN,1,71,ACSR,2,AWG
426,UBA0427,S0054-0020-0011,S0054-0020-0012,BN,1,72,ACSR,2,AWG
427,OSA0428,S0054-0020-0012,S0054-0020-012a,BN,2,44,ACSR,2,AWG
428,OSA0429,S0054-0020-0012,S0054-0020-012A,BN,2,44,ACSR,2,AWG
429,UBA0430,S0054-0020-0012,S0054-0020-0013,BN,1,90,ACSR,2,AWG
430,UBA0431,S0054-0020-0013,S0054-0020-0014,BN,1,75,ACSR,2,AWG
431,UBA0432,S0054-0020-0014,S0054-0020-0015,BN,1,81,ACSR,2,AWG
432,UBA0433,S0054-0020-0015,S0054-0020-0016,BN,1,81,ACSR,2,AWG
433,UBA0434,S0054-0020-0016,S0054-0020-0017,BN,1,77,ACSR,2,AWG
434,UBA0435,S0054-0020-0017,S0054-0020-0018,BN,1,80,ACSR,2,AWG
435,UBA0436,S0054-0020-0018,S0054-0020-0019,BN,1,71,ACSR,2,AWG
436,OSA0437,S0054-0020-008A,S0054-0020-008B,BN,2,64,ACSR,2,AWG
437,OSA0438,S0054-0020-008B,S0054-0020-008C,BN,2,62,ACSR,2,AWG
438,OSA0439,S0054-0020-008C,S0054-0020-008D,BN,2,73,ACSR,2,AWG
439,OSA0440,S0054-0020-008D,S0054-0020-008E,BN,2,70,ACSR,2,AWG
440,OSA0441,S0054-0020-008E,S0054-0020-008F,BN,2,63,ACSR,2,AWG
441,OSA0442,S0054-0020-008F,S0054-0020-008G,BN,2,71,ACSR,2,AWG
442,OSA0443,S0054-0020-008G,S0054-0020-008H,BN,2,68,ACSR,2,AWG
443,OSA0444,S0054-0020-008H,S0054-0020-008I,BN,2,64,ACSR,2,AWG
444,OSA0445,S0054-0020-012a,S0054-0020-012b,BN,2,49,ACSR,2,AWG
445,OSA0446,S0054-0020-012A,S0054-0020-012B,BN,2,49,ACSR,2,AWG
446,UBA0447,DT0000000065,S000065-0000004,AN,1,1,ACSR,2,AWG
447,OSA0448,S000065-0000002,S000065-000002a,AN,2,82,ACSR,2,AWG
448,UBA0449,S000065-0000002,S000065-0000001,AN,1,109,ACSR,2,AWG
449,OSA0450,S000065-0000003,S000065-000003a,AN,2,97,ACSR,2,AWG
450,UBA0451,S000065-0000003,S000065-0000002,AN,1,80,ACSR,2,AWG
451,UBA0452,S000065-0000004,S000065-0000005,AN,1,113,ACSR,2,AWG
452,UBA0453,S000065-0000004,S000065-0000003,AN,1,82,ACSR,2,AWG
453,OSA0454,S000065-0000005,S000065-000005a,AN,2,80,ACSR,2,AWG
454,UBA0455,S000065-0000005,S000065-0000006,AN,1,97,ACSR,2,AWG
455,OSA0456,S000065-000002a,S000065-000002b,AN,2,68,ACSR,2,AWG
456,OSA0457,S000065-000002b,S000065-000002c,AN,2,64,ACSR,2,AWG
457,UBA0458,DT0000000072-7,S0072-0007-0003,AN,1,1,ACSR,2,AWG
458,UBA0459,S0072-0007-0002,S0072-0007-0001,AN,1,71,ACSR,2,AWG
459,UBA0460,S0072-0007-0003,S0072-0007-0004,AN,1,50,ACSR,2,AWG
460,UBA0461,S0072-0007-0003,S0072-0007-0002,AN,1,61,ACSR,2,AWG
461,UBA0462,DT0000000073,S000073-0000007,BN,1,1,ACSR,2,AWG
462,UBA0463,S000073-0000002,S000073-0000001,BN,1,66,ACSR,2,AWG
463,UBA0464,S000073-0000003,S000073-0000002,BN,1,73,ACSR,2,AWG
464,UBA0465,S000073-0000004,S000073-0000003,BN,1,78,ACSR,2,AWG
465,OSA0466,S000073-0000005,S000073-000005a,BN,2,45,ACSR,2,AWG
466,UBA0467,S000073-0000005,S000073-0000004,BN,1,65,ACSR,2,AWG
467,UBA0468,S000073-0000006,S000073-0000005,BN,1,45,ACSR,2,AWG
468,UBA0469,S000073-0000007,S000073-0000008,BN,1,53,ACSR,2,AWG
469,UBA0470,S000073-0000007,S000073-0000006,BN,1,45,ACSR,2,AWG
470,UBA0471,S000073-0000008,S000073-0000009,BN,1,82,ACSR,2,AWG
471,UBA0472,S000073-0000009,S000073-0000010,BN,1,64,ACSR,2,AWG
472,UBA0473,DT0000000090,S000090-0000007,BN,1,1,ACSR,2,AWG
473,UBA0474,S000090-0000002,S000090-0000001,BN,1,76,ACSR,2,AWG
474,OSA2588,S000090-0000001,S000090-000001a,BN,1,76,ACSR,2,AWG
475,UBA2629,S000090-000001a,S000090-000001b,BN,1,76,ACSR,2,AWG
476,UBA0475,S000090-0000003,S000090-0000002,BN,1,101,ACSR,2,AWG
477,UBA0476,S000090-0000004,S000090-0000003,BN,1,81,ACSR,2,AWG
478,UBA0477,S000090-0000005,S000090-0000004,BN,1,77,ACSR,2,AWG
479,UBA0478,S000090-0000006,S000090-0000005,BN,1,73,ACSR,2,AWG
480,UBA0479,S000090-0000007,S000090-0000008,BN,1,26,ACSR,2,AWG
481,UBA0480,S000090-0000007,S000090-0000006,BN,1,123,ACSR,2,AWG
482,UBA0481,S000090-0000008,S000090-0000009,BN,1,40,ACSR,2,AWG
483,UBA0482,S000090-0000009,S000090-0000010,BN,1,82,ACSR,2,AWG
484,UBA0483,S000090-0000010,S000090-0000011,BN,1,95,ACSR,2,AWG
485,UBA2630,S000090-0000011,S000090-0000012,BN,1,95,ACSR,2,AWG
486,UBA0484,DT0000000091,S000091-0000001,CN,1,1,ACSR,2,AWG
487,UBA0485,DT0000000092-2,S0092-0002-0001,ABCN,1,1,CU,2,AWG
488,UBA0486,DT0000000092-7,S0092-0007-0007,BN,1,1,ACSR,2,AWG
489,UBA0487,DT0000000092-8,S0092-0008-0001,BN,1,1,ACSR,2,AWG
490,UBA0488,DT0000000092-9,S0092-0009-0001,BN,1,1,ACSR,2,AWG
491,UBA0489,DT0000000092,S000092-0000001,CN,1,1,ACSR,2,AWG
492,UBA0490,S0092-0007-0002,S0092-0007-0001,BN,1,65,ACSR,2,AWG
493,UBA0491,S0092-0007-0003,S0092-0007-0002,BN,1,45,ACSR,2,AWG
494,UBA0492,S0092-0007-0004,S0092-0007-0003,BN,1,53,ACSR,2,AWG
495,UBA0493,S0092-0007-0005,S0092-0007-0004,BN,1,45,ACSR,2,AWG
496,UBA0494,S0092-0007-0006,S0092-0007-0005,BN,1,82,ACSR,2,AWG
497,UBA0495,S0092-0007-0007,S0092-0007-0008,BN,1,64,ACSR,2,AWG
498,UBA0496,S0092-0007-0007,S0092-0007-0006,BN,1,76,ACSR,2,AWG
499,UBA0497,S0092-0007-0008,S0092-0007-0009,BN,1,55,ACSR,2,AWG
500,UBA0498,S0092-0007-0009,S0092-0007-0010,BN,1,70,ACSR,2,AWG
501,OSA0499,S0092-0007-0011,S0092-0007-011A,BN,2,65,ACSR,2,AWG
502,UBA0500,S0092-0007-0010,S0092-0007-0011,BN,1,96,ACSR,2,AWG
503,UBA0501,S0092-0007-0011,S0092-0007-0012,BN,1,80,ACSR,2,AWG
504,UBA0502,S0092-0007-0012,S0092-0007-0013,BN,1,69,ACSR,2,AWG
505,OSA0503,S0092-0007-011A,S0092-0007-011B,BN,2,79,ACSR,2,AWG
506,UBA0504,DT0000000093,S000093-0000001,BN,1,1,ACSR,2,AWG
507,UBA0505,DT0000000094,S000094-0000001,AN,1,1,ACSR,2,AWG
508,UBA0506,DT000000094B,S00094B-0000001,CN,1,1,ACSR,2,AWG
509,UBA0507,DT000000094C,S00094C-0000001,BN,1,1,ACSR,2,AWG
510,UBA0508,DT0000000095-7,S0095-0007-0005,CN,1,1,ACSR,2,AWG
511,UBA0509,S0095-0007-0002,S0095-0007-0001,CN,1,36,ACSR,2,AWG
512,UBA0510,S0095-0007-0003,S0095-0007-0002,CN,1,70,ACSR,2,AWG
513,UBA0511,S0095-0007-0004,S0095-0007-0003,CN,1,52,ACSR,2,AWG
514,UBA0512,S0095-0007-0005,S0095-0007-0006,CN,1,55,ACSR,2,AWG
515,UBA0513,S0095-0007-0005,S0095-0007-0004,CN,1,60,ACSR,2,AWG
516,UBA0514,S0095-0007-0006,S0095-0007-0007,CN,1,68,ACSR,2,AWG
517,UBA0515,S0095-0007-0007,S0095-0007-0008,CN,1,71,ACSR,2,AWG
518,UBA0516,DT0000000099,S000099-0000001,CN,1,1,ACSR,2,AWG
519,UBA0517,DT0000000100-16,S0100-0016-0006,CN,1,1,ACSR,2,AWG
520,UBA0518,DT0000000100-20,S0100-0020-0001,CN,1,1,ACSR,2,AWG
521,UBA0519,DT0000000100-28,S0100-0028-0008,CN,1,1,ACSR,2,AWG
522,UBA0520,DT0000000100-1,S0100-0001-0001,CN,1,1,ACSR,2,AWG
523,UBA0521,DT0000000100-2,S0100-0002-0001,CN,1,1,ACSR,2,AWG
524,UBA0522,DT0000000100-30i,S0100-030i-0006,CN,1,1,ACSR,2,AWG
525,UBA0523,DT0000000100-39h,S0100-039h-0009,CN,1,1,ACSR,2,AWG
526,UBA0524,DT0000000100-39X,S0100-039X-0001,CN,1,1,ACSR,2,AWG
527,UBA0525,DT0000000100-42,S0100-0042-0007,CN,1,1,ACSR,2,AWG
528,UBA0526,DT0000000100-43,S0100-0043-0001,CN,1,1,ACSR,2,AWG
529,UBA0527,DT0000000100-50,S0100-0050-0001,CN,1,1,ACSR,2,AWG
530,UBA0528,DT0000000100-58,S0100-0058-0005,CN,1,1,ACSR,2,AWG
531,UBA0529,DT0000000100-6,S0100-0006-0006,CN,1,1,ACSR,2,AWG
532,UBA0530,DT0000000100-7,S0100-0007-0001,CN,1,1,ACSR,2,AWG
533,UBA0531,DT0000000100-66,S0100-0066-0005,CN,1,1,ACSR,2,AWG
534,UBA0532,DT0000000100-74,S0100-0074-0005,CN,1,1,ACSR,2,AWG
535,UBA0533,DT0000000100-79,S0100-0079-0001,CN,1,1,ACSR,2,AWG
536,UBA0534,DT0000000100-85,S0100-0085-0001,CN,1,1,ACSR,2,AWG
537,UBA0535,DT0000000100-13ar,S0100-13ar-0005,CN,1,1,ACSR,2,AWG
538,UBA0536,DT0000000100-13bj,S0100-13bj-0006,CN,1,1,ACSR,2,AWG
539,UBA0537,DT0000000100-13m,S0100-013m-0009,CN,1,1,ACSR,2,AWG
540,UBA0538,DT0000000100-55-4,S100-55-04-0003,CN,1,1,ACSR,2,AWG
541,UBA0539,DT0000000100-71-3,S100-71-03-0001,CN,1,1,ACSR,2,AWG
542,UBA0540,DT0000000100-72M,S0100-072M-0004,CN,1,1,ACSR,2,AWG
543,UBA0541,DT0000000100-72Y,S0100-072Y-0005,CN,1,1,ACSR,2,AWG
544,UBA0542,DT0000000100-13ag6,S100-13ag6-0013,CN,1,1,ACSR,2,AWG
545,UBA0543,DT0000000100-13ax15,S100-13ax15-014,CN,1,1,ACSR,2,AWG
546,UBA0544,DT0000000100-72Q12,S100-72Q12-0005,CN,1,1,ACSR,2,AWG
547,UBA0545,DT0000000100-72Q8c,S100-72Q8c-0004,CN,1,1,ACSR,2,AWG
548,UBA0546,DT0000000100,S000100-0000007,AN,1,1,ACSR,2,AWG
549,OSA0547,S000100-0000002,S000100-000002a,AN,2,34,ACSR,2,AWG
550,UBA0548,S000100-0000002,S000100-0000001,AN,1,95,ACSR,2,AWG
551,UBA0549,S000100-0000003,S000100-0000002,AN,1,88,ACSR,2,AWG
552,UBA0550,S000100-0000004,S000100-0000003,AN,1,84,ACSR,2,AWG
553,UBA0551,S000100-0000005,S000100-0000004,AN,1,83,ACSR,2,AWG
554,UBA0552,S000100-0000006,S000100-0000005,AN,1,69,ACSR,2,AWG
555,OSA0553,S000100-0000007,S000100-000007A,AN,2,20,ACSR,2,AWG
556,UBA0554,S000100-0000007,S000100-0000008,AN,1,80,ACSR,2,AWG
557,UBA0555,S000100-0000007,S000100-0000006,AN,1,44,ACSR,2,AWG
558,UBA0556,S000100-0000008,S000100-0000009,AN,1,66,ACSR,2,AWG
559,OSA0557,S000100-0000009,S000100-000009a,AN,2,42,ACSR,2,AWG
560,UBA0558,S000100-0000009,S000100-0000010,AN,1,81,ACSR,2,AWG
561,OSA0559,S000100-000002a,S000100-000002b,AN,2,42,ACSR,2,AWG
562,OSA0560,S000100-000002b,S000100-000002c,AN,2,62,ACSR,2,AWG
563,OSA0565,S000100-0000003,S000100-000003A,AN,2,62,ACSR,2,AWG
564,UBA0561,S0100-0006-0002,S0100-0006-0001,CN,1,67,ACSR,2,AWG
565,UBA0562,S0100-0006-0003,S0100-0006-0002,CN,1,61,ACSR,2,AWG
566,UBA0563,S0100-0006-0004,S0100-0006-0003,CN,1,70,ACSR,2,AWG
567,UBA0564,S0100-0006-0005,S0100-0006-0004,CN,1,74,ACSR,2,AWG
568,OSA0565,S0100-0006-0006,S0100-0006-006a,CN,2,65,ACSR,2,AWG
569,UBA0566,S0100-0006-0006,S0100-0006-0007,CN,1,63,ACSR,2,AWG
570,UBA0567,S0100-0006-0006,S0100-0006-0005,CN,1,65,ACSR,2,AWG
571,UBA0568,S0100-0006-0007,S0100-0006-0008,CN,1,77,ACSR,2,AWG
572,UBA0569,S0100-0006-0008,S0100-0006-0009,CN,1,74,ACSR,2,AWG
573,UBA0570,S0100-0006-0009,S0100-0006-0010,CN,1,68,ACSR,2,AWG
574,UBA0571,S0100-0006-0010,S0100-0006-0011,CN,1,70,ACSR,2,AWG
575,OSA0572,S0100-0006-006a,S0100-0006-006b,CN,2,113,ACSR,2,AWG
576,UBA0573,S0100-0016-0002,S0100-0016-0001,CN,1,81,ACSR,2,AWG
577,OSA0574,S0100-0016-0003,S0100-0016-003a,CN,2,113,ACSR,2,AWG
578,UBA0575,S0100-0016-0003,S0100-0016-0002,CN,1,78,ACSR,2,AWG
579,OSA0576,S0100-0016-0004,S0100-0016-004a,CN,2,74,ACSR,2,AWG
580,UBA0577,S0100-0016-0004,S0100-0016-0003,CN,1,61,ACSR,2,AWG
581,UBA0578,S0100-0016-0005,S0100-0016-0004,CN,1,74,ACSR,2,AWG
582,UBA0579,S0100-0016-0006,S0100-0016-0007,CN,1,44,ACSR,2,AWG
583,UBA0580,S0100-0016-0006,S0100-0016-0005,CN,1,51,ACSR,2,AWG
584,UBA0581,S0100-0016-0007,S0100-0016-0008,CN,1,68,ACSR,2,AWG
585,UBA0582,S0100-0016-0008,S0100-0016-0009,CN,1,58,ACSR,2,AWG
586,UBA0583,S0100-0016-0009,S0100-0016-0010,CN,1,51,ACSR,2,AWG
587,OSA0584,S0100-0016-0010,S0100-0016-010a,CN,2,50,ACSR,2,AWG
588,UBA0585,S0100-0016-0010,S0100-0016-0011,CN,1,52,ACSR,2,AWG
589,OSA0586,S0100-0016-003a,S0100-0016-003b,CN,2,50,ACSR,2,AWG
590,OSA0587,S0100-0016-003b,S0100-0016-003c,CN,2,52,ACSR,2,AWG
591,OSA0588,S0100-0016-003c,S0100-0016-003d,CN,2,108,ACSR,2,AWG
592,OSA0589,S0100-0016-003d,S0100-0016-003e,CN,2,63,ACSR,2,AWG
593,UBA0590,S0100-0028-0002,S0100-0028-0001,CN,1,89,ACSR,2,AWG
594,UBA0591,S0100-0028-0003,S0100-0028-0002,CN,1,84,ACSR,2,AWG
595,UBA0592,S0100-0028-0004,S0100-0028-0003,CN,1,54,ACSR,2,AWG
596,UBA0593,S0100-0028-0005,S0100-0028-0004,CN,1,64,ACSR,2,AWG
597,UBA0594,S0100-0028-0006,S0100-0028-0005,CN,1,63,ACSR,2,AWG
598,UBA0595,S0100-0028-0007,S0100-0028-0006,CN,1,52,ACSR,2,AWG
599,UBA0596,S0100-0028-0008,S0100-0028-0009,CN,1,90,ACSR,2,AWG
600,UBA0597,S0100-0028-0008,S0100-0028-0007,CN,1,74,ACSR,2,AWG
601,UBA0598,S0100-0028-0009,S0100-0028-0010,CN,1,48,ACSR,2,AWG
602,OSA0599,S0100-0028-0010,S0100-0028-010a,CN,2,65,ACSR,2,AWG
603,UBA0600,S0100-0028-0010,S0100-0028-0011,CN,1,63,ACSR,2,AWG
604,UBA0601,S0100-0028-0011,S0100-0028-0012,CN,1,71,ACSR,2,AWG
605,OSA0602,S0100-0028-0012,S0100-0028-012A,CN,2,100,ACSR,2,AWG
606,OSA0603,S0100-0028-010a,S0100-0028-010b,CN,2,56,ACSR,2,AWG
607,OSA0604,S0100-0028-010b,S0100-0028-010c,CN,2,100,ACSR,2,AWG
608,OSA0605,S0100-0028-012A,S0100-0028-012B,CN,2,74,ACSR,2,AWG
609,OSA0606,S0100-0028-012B,S0100-0028-012C,CN,2,48,ACSR,2,AWG
610,OSA0607,S0100-0028-012C,S0100-0028-012D,CN,2,65,ACSR,2,AWG
611,OSA0608,S0100-0028-012D,S0100-0028-012E,CN,2,63,ACSR,2,AWG
612,OSA0609,S0100-0042-0001,S0100-0042-001a,CN,2,71,ACSR,2,AWG
613,UBA0610,S0100-0042-0002,S0100-0042-0001,CN,1,80,ACSR,2,AWG
614,OSA0611,S0100-0042-0003,S0100-0042-003a,CN,2,68,ACSR,2,AWG
615,UBA0612,S0100-0042-0003,S0100-0042-0002,CN,1,88,ACSR,2,AWG
616,UBA0613,S0100-0042-0004,S0100-0042-0003,CN,1,68,ACSR,2,AWG
617,UBA0614,S0100-0042-0005,S0100-0042-0004,CN,1,64,ACSR,2,AWG
618,UBA0615,S0100-0042-0006,S0100-0042-0005,CN,1,68,ACSR,2,AWG
