From_Bus,To_Bus,Connection_Type,Feeder,Circuit
133-4-b-3,133-4-b-3,Transformer_to_Secondary,F1,3 Phase
133-4-b-3,133-4-b-3-a,Transformer_to_Secondary,F1,3 Phase
1133-12-b,133-12-b,Transformer_to_Secondary,F1,Single Phase
1133-12-b,133-12-b-1,Transformer_to_Secondary,F1,Single Phase
133-12-F,133-12-F,Transformer_to_Secondary,F1,Single Phase
133-12-H,133-12-H,Transformer_to_Secondary,F1,Single Phase
133-12-H,133-12-I,Transformer_to_Secondary,F1,Single Phase
99-3,99-3,Transformer_to_Secondary,F1,V Phase
99-6,99-6,Transformer_to_Secondary,F6,V Phase
99-A,99-A,Transformer_to_Secondary,F6,3 Phase
99-10B,99-10B,Transformer_to_Secondary,F6,Single Phase
99-8-a,99-8,Transformer_to_Secondary,F6,Single Phase
99-8-a,99-8-b,Transformer_to_Secondary,F6,Single Phase
99-8-b,99-8-b,Transformer_to_Secondary,F6,Single Phase
99-8-b,99-8-c,Transformer_to_Secondary,F6,Single Phase
99-12,99-12,Transformer_to_Secondary,F6,Single Phase
99-15a,99-15a,Transformer_to_Secondary,F6,Single Phase
99-17,99-17,Transformer_to_Secondary,F6,Single Phase
99-17,99-18,Transformer_to_Secondary,F6,Single Phase
99-18,99-18,Transformer_to_Secondary,F6,Single Phase
100,100,Transformer_to_Secondary,F6,3 Phase
147,147,Transformer_to_Secondary,F1,3 Phase
146,146,Transformer_to_Secondary,F1,3 Phase
86,86,Transformer_to_Secondary,F7,3 Phase
99,99,Transformer_to_Secondary,F7,3 Phase
99-I,99-I,Transformer_to_Secondary,F7,Single Phase
123-3,123-3,Transformer_to_Secondary,F7,Single Phase
126,126,Transformer_to_Secondary,F7,3 Phase
126,127,Transformer_to_Secondary,F7,3 Phase
128-1,128-1,Transformer_to_Secondary,F7,Single Phase
131-g,131-g,Transformer_to_Secondary,F7,Single Phase
mmk yes iiobv good gonna bb BB na,135-4,Transformer_to_Secondary,F7,3 Phase
135-10,135-10,Transformer_to_Secondary,F7,3 Phase
135_10-b,135-10-b,Transformer_to_Secondary,F7,Single Phase
135-16,135-16,Transformer_to_Secondary,F7,3 Phase
1335-20-d,135-20-d,Transformer_to_Secondary,F7,3 Phase
138,138,Transformer_to_Secondary,F7,3 Phase
140,140,Transformer_to_Secondary,F7,3 Phase
3-J5,3-J8,Secondary_to_Secondary,F6,3 Phase
4-J5,4-J6,Secondary_to_Secondary,F6,3 Phase
5-J5,5-J8,Secondary_to_Secondary,F6,3 Phase
6-J5,6-J6,Secondary_to_Secondary,F6,3 Phase
6-J6,6-J8,Secondary_to_Secondary,F6,3 Phase
6-a-J5,6-a-J6,Secondary_to_Secondary,F6,3 Phase
7-J5,7-J6,Secondary_to_Secondary,F6,3 Phase
8-J5,8-J6,Secondary_to_Secondary,F6,3 Phase
4-A-J5,4-A-J6,Secondary_to_Secondary,F6,3 Phase
9-J5,9-J6,Secondary_to_Secondary,F6,Single Phase
47-a-e-L-J5,47-a-e-L-J6,Secondary_to_Secondary,F6,Single Phase
47-a-e-S-J5,47-a-e-S-J6,Secondary_to_Secondary,F6,Single Phase
77-A-b-J5,77-A-b-J6,Secondary_to_Secondary,F6,3 Phase
133-1-J5,133-1-J6,Secondary_to_Secondary,F1,3 Phase
133-2-J5,133-2-J6,Secondary_to_Secondary,F1,3 Phase
133-3-J5,133-3-J6,Secondary_to_Secondary,F1,3 Phase
133-4-J5,133-4-J6,Secondary_to_Secondary,F1,3 Phase
133-6-J5,133-6-J6,Secondary_to_Secondary,F1,3 Phase
133-8-J5,133-8-J6,Secondary_to_Secondary,F1,3 Phase
133-12-b-J5,133-12-b-J6,Secondary_to_Secondary,F1,Single Phase
99-8-J5,99-8-J6,Secondary_to_Secondary,F6,V Phase
99-A-J5,99-A-J8,Secondary_to_Secondary,F6,3 Phase
99-12-A-J5,99-12-A-J6,Secondary_to_Secondary,F6,Single Phase
99-17-J5,99-17-J6,Secondary_to_Secondary,F6,Single Phase
100-J5,100-J6,Secondary_to_Secondary,F6,3 Phase
147-J5,147-J6,Secondary_to_Secondary,F1,3 Phase
135-8-J5,135-8-J6,Secondary_to_Secondary,F7,3 Phase
