Count,Primary Distribution Line  Segment ID,From_Bus_ID,To_Bus_ID,Phasing,Configuration,System Grounding Type,Length         (meters),Conductor Type,Conductor Size,Unit (C) ,Strands (C) ,Neutral Wire Type,Neutral Wire Size,Unit (NW),Strands (NW),Spacing D12 (meters),Spacing D23 (meters),Spacing D13 (meters),Spacing D1n (meters),Spacing D2n (meters),Spacing D3n (meters),Spacing DC1-C2       (meters),Height H1   (meters),Height H2   (meters),Height H3   (meters),Height Hn   (meters),Earth Resistivity (Ohm-meter)
107,DXTUNGAF1C0106A,P0000000106,P000000106A,ABCN,Triangular,Multi-grounded,2,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
108,DXTUNGAF1C0106-1,P0000000106,P0000000106-1,BN,Vertical,Multi-grounded,81,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
109,DXTUNGAF1C0106-2,P0000000106-1,P0000000106-2,BN,Vertical,Multi-grounded,81,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
110,DXTUNGAF1C0108,P0000000106,P0000000108,ABCN,Triangular,Multi-grounded,148,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
111,DXTUNGAF1C0108-4,P0000000108,P0000000108-4,ABCN,Triangular,Multi-grounded,229,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
112,DXTUNGAF1C0108-4A,P0000000108-4,P0000000108-4A,ABCN,Triangular,Multi-grounded,2,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
113,DXTUNGAF1C0108-4b,P0000000108-4,P0000000108-4b,AN,Vertical,Multi-grounded,90,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
114,DXTUNGAF1C0108-5,P0000000108-4,P0000000108-5,ABCN,Triangular,Multi-grounded,55,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
115,DXTUNGAF1C0108-7A,P0000000108-5,P0000000108-7,ABCN,Triangular,Multi-grounded,135,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
116,DXTUNGAF1C0108-7B,P0000000108-7,P0000000108-7A,ABCN,Triangular,Multi-grounded,2,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
117,DXTUNGAF1C0108-8,P0000000108-7,P0000000108-8,ABCN,Triangular,Multi-grounded,83,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
118,DXTUNGAF1C0108-10,P0000000108-8,P0000000108-10,ABCN,Triangular,Multi-grounded,105,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
119,DXTUNGAF1C0108-11,P0000000108-10,P0000000108-11,ABCN,Triangular,Multi-grounded,44,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
120,DXTUNGAF1A0108-12,P0000000108-11,P0000000108-12,ABCN,Triangular,Multi-grounded,98,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
121,DXTUNGAF1A0108-12b,P0000000108-12,P0000000108-12b,AN,Vertical,Multi-grounded,146,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
122,DXTUNGAF1A0108-12f,P0000000108-12b,P0000000108-12f,AN,Vertical,Multi-grounded,209,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
123,DXTUNGAF1A0108-12h,P0000000108-12f,P0000000108-12h,AN,Vertical,Multi-grounded,85,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
124,DXTUNGAF1C0108-18,P0000000108-12,P0000000108-18,ABCN,Triangular,Multi-grounded,210,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
125,DXTUNGAF1C0108-19,P0000000108-18,P0000000108-19,ABCN,Triangular,Multi-grounded,71,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
126,DXTUNGAF1C0108-20,P0000000108-19,P0000000108-20,ABCN,Triangular,Multi-grounded,72,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
127,DXTUNGAF1A0108-20C,P0000000108-20,P0000000108-20C,BN,Vertical,Multi-grounded,157,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
128,DXTUNGAF1A0108-20O,P0000000108-20C,P0000000108-20O,BN,Vertical,Multi-grounded,827,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
129,DXTUNGAF1A0108-21,P0000000108-20,P0000000108-21,ABCN,Triangular,Multi-grounded,76,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
130,DXTUNGAF1A0108-21b,P0000000108-21,P0000000108-21b,BN,Vertical,Multi-grounded,76,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
131,DXTUNGAF1A0108-24,P0000000108-21,P0000000108-24,ABCN,Triangular,Multi-grounded,215,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
132,DXTUNGAF1A0108-24A,P0000000108-24,P0000000108-24A,AN,Vertical,Multi-grounded,173,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
133,DXTUNGAF1A0108-24-1,P0000000108-24,P0000000108-24-1,BN,Vertical,Multi-grounded,30,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
134,DXTUNGAC00108-30,P0000000108-24,P0000000108-30,ABCN,TRIANGULAR,Multi-grounded,245,ACSR,2/0,AWG,06-Jan,ACSR,2/0,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
135,DXTUNGAC00108-33,P0000000108-30,P0000000108-33,ABCN,TRIANGULAR,Multi-grounded,245,ACSR,2/0,AWG,06-Jan,ACSR,2/0,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
136,DXTUNGAC00108-45,P0000000108-33,P0000000108-45,ABCN,TRIANGULAR,Multi-grounded,1083,ACSR,2/0,AWG,06-Jan,ACSR,2/0,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
137,DXTUNGAA00108-45H,P0000000108-45,P0000000108-45H,CN,VERTICAL,Multi-grounded,670,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100
138,DXTUNGAC00108-45A,P0000000108-45,P0000000108-45A,ABCN,TRIANGULAR,Multi-grounded,2,ACSR,2/0,AWG,06-Jan,ACSR,2/0,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
139,DXTUNGAC00108-58,P0000000108-45,P0000000108-58,ABCN,TRIANGULAR,Multi-grounded,996,ACSR,2/0,AWG,06-Jan,ACSR,2/0,AWG,06-Jan,1.382606235,1.382606235,2.61,1.48,1.15,1.475161008,0,8.69,9.15,8.69,8,100
140,DXTUNGAA00108-58M,P0000000108-58,P0000000108-58M,CN,VERTICAL,Multi-grounded,1061,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100
141,DXTUNGAA00108-58R,P0000000108-58M,P0000000108-58R,CN,VERTICAL,Multi-grounded,306,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100
142,DXTUNGAA00108-58R11,P0000000108-58R,P0000000108-58R11,CN,VERTICAL,Multi-grounded,1143,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100
143,DXTUNGAA00108-58AA,P0000000108-58R,P0000000108-58AA,CN,VERTICAL,Multi-grounded,633,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100
144,DXTUNGAA00108-58AN,P0000000108-58AA,P0000000108-58AN,CN,VERTICAL,Multi-grounded,1187,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100
145,DXTUNGAA00108-58AN9,P0000000108-58AN,P0000000108-58AN9,CN,VERTICAL,Multi-grounded,650,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100
146,DXTUNGAA00108-58AO,P0000000108-58AN,P0000000108-58AO,CN,VERTICAL,Multi-grounded,84,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
147,DXTUNGAA00108-58AO4,P0000000108-58AO,P0000000108-58AO4,CN,VERTICAL,Multi-grounded,248,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100
148,DXTUNGAA00108-58AV,P0000000108-58AO,P0000000108-58AV,CN,VERTICAL,Multi-grounded,461,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100
149,DXTUNGAC00108-59,P0000000108-58,P0000000108-59,ABCN,TRIANGULAR,Multi-grounded,66,ACSR,2/0,AWG,06-Jan,ACSR,2/0,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
150,DXTUNGAC00108-59A,P0000000108-59,P0000000108-59A,ABCN,TRIANGULAR,Multi-grounded,2,ACSR,2/0,AWG,06-Jan,ACSR,2/0,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
151,DXTUNGAA00108-59f,P0000000108-59,P0000000108-59f,AN,VERTICAL,Multi-grounded,430,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100
152,DXTUNGAA00108-59j,P0000000108-59f,P0000000108-59j,AN,VERTICAL,Multi-grounded,218,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100
153,DXTUNGAA00108-59p,P0000000108-59j,P0000000108-59p,AN,VERTICAL,Multi-grounded,411,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
154,DXTUNGAC00108-60,P0000000108-59,P0000000108-60,ABCN,TRIANGULAR,Multi-grounded,77,ACSR,2/0,AWG,06-Jan,ACSR,2/0,AWG,06-Jan,1.382606235,1.382606235,2.61,1.48,1.15,1.475161008,0,8.69,9.15,8.69,8,100
155,DXTUNGAC00108-63,P0000000108-60,P0000000108-63,ABCN,TRIANGULAR,Multi-grounded,70,ACSR,2/0,AWG,06-Jan,ACSR,2/0,AWG,06-Jan,1.382606235,1.382606235,2.61,1.48,1.15,1.475161008,0,8.69,9.15,8.69,8,100
156,DXTUNGAF1C0110,P0000000108,P0000000110,ABCN,Triangular,Multi-grounded,107,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
157,DXTUNGAF1C0111,P0000000110,P0000000111,ABCN,Triangular,Multi-grounded,72,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
158,DXTUNGAF1C0111A,P0000000111,P000000111A,ABCN,Triangular,Multi-grounded,2,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
159,DXTUNGAF1C0112,P0000000111,P0000000112,ABCN,Triangular,Multi-grounded,89,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.48,1.15,1.475161008,0,8.69,9.15,8.69,8,100
160,DXTUNGAF1C0113,P0000000112,P0000000113,ABCN,Triangular,Multi-grounded,89,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.48,1.15,1.475161008,0,8.69,9.15,8.69,8,100
161,DXTUNGAF1A0115,P0000000113,P0000000115,ABCN,Triangular,Multi-grounded,62,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.48,1.15,1.475161008,0,8.69,9.15,8.69,8,100
162,DXTUNGAF1C0115A,P0000000115,P000000115A,ABCN,Triangular,Multi-grounded,2,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.48,1.15,1.475161008,0,8.69,9.15,8.69,8,100
163,DXTUNGAF1C0115B,P000000115A,P000000115B,ABCN,Triangular,Multi-grounded,2,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.48,1.15,1.475161008,0,8.69,9.15,8.69,8,100
164,DXTUNGAF1C0115C,P000000115B,P000000115C,ABCN,Triangular,Multi-grounded,2,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.48,1.15,1.475161008,0,8.69,9.15,8.69,8,100
165,DXTUNGAF1A0115-4,P0000000115,P0000000115-4,AN,Vertical,Multi-grounded,245,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62,0,0,6.554878049,100
166,DXTUNGAF1C0116,P0000000115,P0000000116,ABCN,Triangular,Multi-grounded,55,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.48,1.15,1.475161008,0,8.69,9.15,8.69,8,100
167,DXTUNGAF1C0117,P0000000116,P0000000117,BCAN,Triangular,Multi-grounded,44,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.48,1.15,1.475161008,0,8.69,9.15,8.69,8,100
168,DXTUNGAF1A0117B,P0000000117,P000000117B,BN,Vertical,Multi-grounded,85,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
169,DXTUNGAF1A0119,P0000000117,P0000000119,ABCN,Triangular,Multi-grounded,123,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
170,DXTUNGAF1A0119-3,P0000000119,P0000000119-3,ABCN,Triangular,Multi-grounded,156,ACSR,1/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.48,1.15,1.475161008,0,8.69,9.15,8.69,8,100
171,DXTUNGAF1C0121,P0000000119,P0000000121,ABCN,Triangular,Multi-grounded,80,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.48,1.15,1.475161008,0,8.69,9.15,8.69,8,100
172,DXTUNGAF1C0121A,P0000000121,P000000121A,ABCN,Triangular,Multi-grounded,2,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
173,DXTUNGAF1C0122,P0000000121,P0000000122,BACN,Triangular,Multi-grounded,53,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
174,DXTUNGAF1C0122A,P0000000122,P000000122A,BACN,Triangular,Multi-grounded,2,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
175,DXTUNGAF1C0122-3,P0000000122,P0000000122-3,BN,Vertical,Multi-grounded,173,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100
176,DXTUNGAF1C0122-3-2,P0000000122-3,P0000000122-3b,BN,Vertical,Multi-grounded,98,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100
177,DXTUNGAF1C0122-4,P0000000122-3,P0000000122-4,BN,Vertical,Multi-grounded,60,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100
178,DXTUNGAF1C00125,P0000000122,P0000000125,ABCN,Triangular,Multi-grounded,193,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
179,DXTUNGAF1C0125A,P0000000125,P000000125A,ABCN,Triangular,Multi-grounded,2,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.48,1.15,1.475161008,0,8.69,9.15,8.69,8,100
180,DXTUNGAF1C0126,P0000000125,P0000000126,ABCN,Triangular,Multi-grounded,45,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.48,1.15,1.475161008,0,8.69,9.15,8.69,8,100
181,DXTUNGAF1A0126-2,P0000000126,P0000000126-2,ABN,Horizontal,Multi-grounded,79,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,2.33739837,0,0,1.65435169,1.65435169,0,0,7.62195122,7.62195122,0,6.40243902,100
182,DXTUNGAF1A0126-6,P0000000126-2,P0000000126-6,ABN,Horizontal,Multi-grounded,204,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,2.33739837,0,0,1.65435169,1.65435169,0,0,7.62195122,7.62195122,0,6.40243902,100
183,DXTUNGAF1A0126-8,P0000000126-6,P0000000126-8,ABN,Horizontal,Multi-grounded,90,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,2.33739837,0,0,1.65,1.65435169,0,0,7.62195122,7.62195122,0,6.40243902,100
184,DXTUNGAF1A0126-8A,P0000000126-8,P0000000126-8A,BN,Vertical,Multi-grounded,56,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
185,DXTUNGAF1A0126-8B,P0000000126-8A,P0000000126-8B,BN,Vertical,Multi-grounded,52,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
186,DXTUNGAF1A0126-8B1,P0000000126-8B,P0000000126-8B1,BN,Vertical,Multi-grounded,2,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
187,DXTUNGAF1A0126-8B1,P0000000126-8,P0000000126-8a,AN,Horizontal,Multi-grounded,2,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
188,DXTUNGAF1A0126-8b,P0000000126-8a,P0000000126-8b,AN,Vertical,Multi-grounded,65,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
189,DXTUNGAF1A0126-10,P0000000126-8,P0000000126-10,AN,Vertical,Multi-grounded,90,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100
190,DXTUNGAF1A0126-12,P0000000126-10,P0000000126-12,AN,Vertical,Multi-grounded,53,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
191,DXTUNGAF1A0128,P0000000126,P0000000128,ABCN,Triangular,Multi-grounded,94,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.48,1.15,1.475161008,0,8.69,9.15,8.69,8,100
192,DXTUNGAF1A0128-4,P0000000128,P0000000128-4,AN,Vertical,Multi-grounded,200,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100
193,DXTUNGAF1A0128-4A,P0000000128-4,P0000000128-4A,AN,Vertical,Multi-grounded,2,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100
194,DXTUNGAF1A0129,P0000000128,P0000000129,ABCN,Triangular,Multi-grounded,71,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
195,DXTUNGAF1C0130,P0000000129,P0000000130,ABCN,Triangular,Multi-grounded,35,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
196,DXTUNGAF1C0130-16,P0000000130,P0000000130-16,ABCN,Triangular,Multi-grounded,1168,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
197,DXTUNGAF1C0130-20,P0000000130-16,P0000000130-20,ABCN,Triangular,Multi-grounded,221,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.48,1.15,1.475161008,0,8.69,9.15,8.69,8,100
198,DXTUNGAF1C0130-25,P0000000130-20,P0000000130-25,ABCN,Triangular,Multi-grounded,330,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
199,DXTUNGAF1C0130-31,P0000000130-25,P0000000130-31,ABCN,Triangular,Multi-grounded,391,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
200,DXTUNGAF1C0130-31A,P0000000130-31,P0000000130-31A,ABCN,Triangular,Multi-grounded,2,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
201,DXTUNGAF1A0130-31-4,P0000000130-31A,P0000000130-31-4,AN,Vertical,Multi-grounded,226,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100
202,DXTUNGAF1A0130-31-9,P0000000130-31-4,P0000000130-31-9,AN,Vertical,Multi-grounded,371,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
203,DXTUNGAF1C0130-49,P0000000130-31A,P0000000130-49,ABCN,Triangular,Multi-grounded,1233,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.48,1.15,1.475161008,0,8.69,9.15,8.69,8,100
204,DXTUNGAF1A0130-53,P0000000130-49,P0000000130-53,ABCN,Triangular,Multi-grounded,292,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.48,1.15,1.475161008,0,8.69,9.15,8.69,8,100
205,DXTUNGAF1A0130-53-8,P0000000130-53,P0000000130-53-8,CN,Vertical,Multi-grounded,516,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
206,DXTUNGAF1A0130-53-20,P0000000130-53-8,P0000000130-53-20,CN,Vertical,Multi-grounded,829,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
207,DXTUNGAF1A0130-53-20F,P0000000130-53-20,P0000000130-53-20F,CN,Vertical,Multi-grounded,473,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
208,DXTUNGAF1A0130-53-24,P0000000130-53-20,P0000000130-53-24,CN,Vertical,Multi-grounded,263,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
209,DXTUNGAF1A0130-53-38,P0000000130-53-24,P0000000130-53-38,CN,Vertical,Multi-grounded,933,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
210,DXTUNGAF1A0130-53-44,P0000000130-53-38,P0000000130-53-44,CN,Vertical,Multi-grounded,436,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
211,DXTUNGAF1A0130-56,P0000000130-53,P0000000130-56,ABCN,Triangular,Multi-grounded,178,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.48,1.15,1.475161008,0,8.69,9.15,8.69,8,100
