Count,Distribution Transformer ID,"From 
Primary Bus ID","To  
Secondary Bus ID",Primary Phasing,Secondary Phasing,Installation Type,No. DTs in Bank, Connection,KVA Rating,Primary Voltage Rating(kV),Secondary Voltage Rating (kV),Primary Tap Voltage (kV),Secondary Tap Voltage (kV),%Z,X/R Ratio,No-Load Loss (kW),Exciting Current (%)
169,DT0000000132-3EU,P0000000132-3E,DT0000000132-3E,CN,CN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
170,DT0000000132-3GU,P0000000132-3G,DT0000000132-3G,CN,CN,Pole-mounted,1,1,10,7.62,0.24,7.62,0.24,2.3,0.857,0.058,0.264
171,DT0000000132-3HU,P0000000132-3H,DT0000000132-3H,CN,CN,Pole-mounted,1,1,50,7.62,0.24,7.62,0.24,2.4,1.273,0.167,0.758
172,DT0000000132-3H1U,P0000000132-3H1,DT0000000132-3H1,CN,CN,Pole-mounted,1,1,15,7.62,0.24,7.62,0.24,2.3,0.923,0.076,0.347
173,DT0000000132-3IU,P0000000132-3I,DT0000000132-3I,CN,CN,Pad-mounted,1,1,50,7.62,0.24,7.62,0.24,2.4,1.273,0.167,0.758
174,DT0000000132-5U,P0000000132-5,DT0000000132-5,CN,CN,Pole-mounted,1,1,75,7.62,0.24,7.62,0.24,0.9,1.400,0.274,0.200
175,DT0000000132-9U,P0000000132-9,DT0000000132-9,CN,CN,Pole-mounted,1,1,75,7.62,0.24,7.62,0.24,0.9,1.400,0.274,0.200
176,DT0000000132-14U,P0000000132-14,DT0000000132-14,CN,CN,Pole-mounted,1,1,75,7.62,0.24,7.62,0.24,0.9,1.400,0.274,0.200
177,DT0000000134-2U,P0000000134-2,DT0000000134-2,AN,AN,Pole-mounted,1,1,50,7.62,0.24,7.62,0.24,2.4,1.273,0.167,0.758
178,DT0000000137U,P0000000137,DT0000000137,AN,AN,Pole-mounted,1,1,15,7.62,0.24,7.62,0.24,2.3,0.923,0.076,0.347
179,DT0000000122-3bU,P0000000122-3b,DT0000000122-3b,BN,BN,Pole-mounted,1,1,25,7.62000,0.24000,7.62000,0.24000,2.30000,1.00000,0.10833,0.49300
180,DT0000000130-88U,P0000000130-88,DT0000000130-88,BN,BN,Pole-mounted,1,1,50,7.62000,0.24000,7.62000,0.24000,2.40000,1.27300,0.16667,0.75800
